year,name,cname,abr,votes,tot
2014,Uravakonda,B. Ravi Sankar,PPOI,442,386998
2014,Uravakonda,Kuruba Laleppa,IND,484,386998
2014,Uravakonda,None Of The Above,NOTA,894,386998
2014,Uravakonda,Mendla Prabhakar,BSP,1052,386998
2014,Uravakonda,K. Ramanjineyulu,JASPA,1105,386998
2014,Uravakonda,Vasikeri Shiva Prasad,INC,1185,386998
2014,Uravakonda,Payyavula Keshav,TDP,78767,386998
2014,Uravakonda,Y Visweswara Reddy,YSRCP,81042,386998
1978,Tadipatri,Yatham Narayana,IND,355,101138
1978,Tadipatri,Vellaboyana Bhima Rao,IND,537,101138
1978,Tadipatri,Peddanna,IND,1413,101138
1978,Tadipatri,V.K. Obi Reddi,INC,15872,101138
1978,Tadipatri,Munchala Kesava Reddy,JNP,23280,101138
1978,Tadipatri,Diddekunta Venkata Reddy,INC(I),28793,101138
1983,Tadipatri,Nazeer Ahmed Veerapuram,IND,362,115414
1983,Tadipatri,V. K. Venkata Rami Reddy,CPI,7529,115414
1983,Tadipatri,V. K. Obireddy,INC,18446,115414
1983,Tadipatri,J.C. Diwakar Reddy,IND,20300,115414
1983,Tadipatri,Mutyala Kesava Reddy,IND,31416,115414
1985,Tadipatri,Kanakampedda Ganganna,IND,33,125007
1985,Tadipatri,Jalagadu Gulakshmi Devi,IND,255,125007
1985,Tadipatri,Yathamnarayana Reddy,IND,331,125007
1985,Tadipatri,D. Ramamurthy,IND,1427,125007
1985,Tadipatri,Ramachandra Reddy Bhunireddygari,TDP,38263,125007
1985,Tadipatri,J.C. Diwakar Reddy,INC,49747,125007
1989,Tadipatri,Pedda Bayarava Reddy,IND,79,157732
1989,Tadipatri,Yannapusa Bhagyalakshmi,IND,103,157732
1989,Tadipatri,Thirupalu Reddy,IND,339,157732
1989,Tadipatri,Ghosuse Mohiddin,MIM,1024,157732
1989,Tadipatri,P. Nagi Reddy,TDP,52335,157732
1989,Tadipatri,J.C. Diwakar Reddy,INC,53554,157732
1994,Tadipatri,Sambasiva Reddy,IND,40,171442
1994,Tadipatri,Satyanarayana Reddy,IND,53,171442
1994,Tadipatri,Venkata Ranga Reddy,IND,77,171442
1994,Tadipatri,Konkari Balanna,IND,95,171442
1994,Tadipatri,K. Nallappa,IND,306,171442
1994,Tadipatri,Rajasekhara Reddy,IND,443,171442
1994,Tadipatri,Ravi Laxmi Devi,BJP,655,171442
1994,Tadipatri,Peram Nagi Reddy,TDP,47813,171442
1994,Tadipatri,J.C. Diwakar Reddy,INC,70693,171442
1999,Tadipatri,T. Maheswara Reddy,IND,89,174251
1999,Tadipatri,Ambati Siva Sankar Reddy,IND,151,174251
1999,Tadipatri,J.C. Raja Sekhar Reddy,IND,164,174251
1999,Tadipatri,Vennapusa Rami Reddy,IND,193,174251
1999,Tadipatri,Prabhakar Reddy,IND,215,174251
1999,Tadipatri,Maramreddy Ranganatha Reddy,PPOI,437,174251
1999,Tadipatri,Lingutla Rajendra Prasad,ATDP,758,174251
1999,Tadipatri,Peram Nagi Reddy,TDP,47466,174251
1999,Tadipatri,J.C. Diwakar Reddy,INC,51509,174251
2004,Tadipatri,V.Muraliprasad Reddy,IND,171,194798
2004,Tadipatri,M.Ramanjula Reddy,IND,187,194798
2004,Tadipatri,B.C.Ramakrishna Reddy,IND,202,194798
2004,Tadipatri,O.Chinna Obula Reddy,IND,307,194798
2004,Tadipatri,K..Sivarami Reddy,IND,330,194798
2004,Tadipatri,J.C. Prabhakar Reddy,IND,347,194798
2004,Tadipatri,P.Vasudeva Reddy,IND,351,194798
2004,Tadipatri,Y.Surya Prabhakara Reddy,IND,663,194798
2004,Tadipatri,Maramreddy Ranganatha Reddy,PPOI,1906,194798
2004,Tadipatri,Kethireddy Suryaprathapa Reddy,TDP,58318,194798
2004,Tadipatri,J.C. Diwakar Reddy,INC,66195,194798
2009,Tadipatri,Chinta Purushotam,IND,202,202829
2009,Tadipatri,Tanguturi Jagannatha Reddy,IND,225,202829
2009,Tadipatri,Golla Subramanyam,IND,274,202829
2009,Tadipatri,K Pulikonda,IND,440,202829
2009,Tadipatri,J.C. Prabhakar ,IND,471,202829
2009,Tadipatri,Pyla Rayudu,IND,500,202829
2009,Tadipatri,P Prathap Yadav,IND,502,202829
2009,Tadipatri,Bhanu Praksh Reddy,IND,537,202829
2009,Tadipatri,Ogety Sree Devi,LSP,922,202829
2009,Tadipatri,R Venkata Ramana,IND,1204,202829
2009,Tadipatri,P V Prathap Reddy,BJP,1641,202829
2009,Tadipatri,C Kesava Reddy,BSP,3855,202829
2009,Tadipatri,Pyla Narasimhaiah,PRAP,19718,202829
2009,Tadipatri,Peram Nagi Reddy,TDP,56403,202829
2009,Tadipatri,J.C. Diwakar Reddy,INC,63358,202829
2014,Tadipatri,K.Narasimha Reddy,IND,133,451302
2014,Tadipatri,M.Lali Bhaskar Reddy,IND,238,451302
2014,Tadipatri,G.Chandra Sekhar,IND,241,451302
2014,Tadipatri,Bandi Sunil Kumar,IND,289,451302
2014,Tadipatri,Vignesh. R,IND,495,451302
2014,Tadipatri,P.Gopal Reddy,IND,615,451302
2014,Tadipatri,P. Neelakanta Achari,BSP,929,451302
2014,Tadipatri,None Of The Above,NOTA,1213,451302
2014,Tadipatri,"Cherukuri Venkataramana,",JASPA,1374,451302
2014,Tadipatri,Ambati Viswantha Reddy,INC,1411,451302
2014,Tadipatri,T.Kuladeep Chowdary,STR,1688,451302
2014,Tadipatri,V.R.Rami Reddy,YSRCP,74568,451302
2014,Tadipatri,J.C. Prabhakar Reddy,TDP,96740,451302
1978,Guntakal,S.Khaja Hussain,IND,447,85924
1978,Guntakal,Veera Reddy Z.,CPI,11595,85924
1978,Guntakal,Jaffar Sab,JNP,18944,85924
1978,Guntakal,K.Venkataramaiah,INC(I),24185,85924
1983,Guntakal,Nagappa K.,IND,370,99595
1983,Guntakal,Shaik G. C. Hussain Peeran,IND,991,99595
1983,Guntakal,V. K. Adinarayana Reddy,CPI,5418,99595
1983,Guntakal,K. Venkataramaiah,INC,13806,99595
1983,Guntakal,Pathi Rajagopalu,IND,40358,99595
1985,Guntakal,Mohammed Usman,IND,103,105476
1985,Guntakal,Mallikarjuna,IND,171,105476
1985,Guntakal,B. Lakshmireddy,IND,309,105476
1985,Guntakal,Jagadeesh,INC,27623,105476
1985,Guntakal,N. Gadilingappa,TDP,35090,105476
1989,Guntakal,G. Damodar,IND,724,128468
1989,Guntakal,Sainath Gowd,TDP,40171,128468
1989,Guntakal,Arikeri Jagadeesh,INC,41784,128468
1994,Guntakal,P.S. Nizamuddin,IND,28,138192
1994,Guntakal,Hanumanthu,IND,64,138192
1994,Guntakal,Chinnakalappa,IND,72,138192
1994,Guntakal,S. Fakruddin,IND,78,138192
1994,Guntakal,Sirisala Vijayakumar,IND,110,138192
1994,Guntakal,Abdul Rajak Mia,BSP,231,138192
1994,Guntakal,Illuru Shankaraiah Gupta,IND,246,138192
1994,Guntakal,D. Ravindranath Reddy,BJP,1635,138192
1994,Guntakal,Arikera Jagadeesh,INC,15391,138192
1994,Guntakal,Sainath Gowd,IND,30447,138192
1994,Guntakal,Gadhi Lingappa,TDP,41275,138192
1999,Guntakal,B. Sanjappa,IND,35,159964
1999,Guntakal,B. Ramanjaneyulu,IND,42,159964
1999,Guntakal,Mallela Laxmanna,IND,112,159964
1999,Guntakal,Besta Narayanaswamy,NTRTDP(LP),130,159964
1999,Guntakal,M. Venkoji Rao,PPOI,286,159964
1999,Guntakal,D. Jagadeesh,CPI,6048,159964
1999,Guntakal,Gadi Lingappa,INC,24946,159964
1999,Guntakal,R. Sainath Gowd,TDP,59410,159964
2004,Guntakal,M. Feroz Alikhan,IND,291,155852
2004,Guntakal,Thammineni Chowdary Naidu,IND,311,155852
2004,Guntakal,Thammineni Konaiah,IND,730,155852
2004,Guntakal,B. Venkoba Rao,IND,782,155852
2004,Guntakal,K.C. Narayana,TDP,44183,155852
2004,Guntakal,Neelavathi. N,INC,52895,155852
2019,Anantapur Urban,Anantha Venkatarami Reddy,YSRCP,88704,165141
2019,Anantapur Urban,Prabhakar Chowdary .V,TDP,60006,165141
2019,Anantapur Urban,T. C. Varun,JSP,10920,165141
2019,Anantapur Urban,G. Naga Raju,INC,1599,165141
2019,Anantapur Urban,Amarnath Jangati,BJP,1436,165141
2019,Anantapur Urban,Nota,NOTA,1312,165141
2019,Anantapur Urban,Rahamthulla,IUML,445,165141
2019,Anantapur Urban,Yelamanjula Rajesh,IND,179,165141
2019,Anantapur Urban,G. Balaji Viswanath,IND,144,165141
2019,Anantapur Urban,P. Venkata Babu Naidu,IND,127,165141
2019,Anantapur Urban,D. Raghavendra,SUCI,111,165141
2019,Anantapur Urban,Kattam Karthik,IND,94,165141
2019,Anantapur Urban,Sivaiah,NSP,64,165141
2019,Kalyandurg,K.V. Usha Sricharan,YSRCP,88051,190841
2019,Kalyandurg,Umamaheswara Naidu Madineni,TDP,68155,190841
2019,Kalyandurg,Neelakantapuram Raghuveera Reddy,INC,28883,190841
2019,Kalyandurg,Rahul Karanam,JSP,1554,190841
2019,Kalyandurg,Nota,NOTA,1515,190841
2019,Kalyandurg,Muppuri Devaraj,BJP,794,190841
2019,Kalyandurg,Sreerangarajula Gopinath Rayal,IND,495,190841
2019,Kalyandurg,Mannila Kishor,IND,276,190841
2019,Kalyandurg,Y. Usharani,PSHP,212,190841
2019,Kalyandurg,V. Adeppa,IND,173,190841
2019,Kalyandurg,Balaram Naik.N,IND,169,190841
2019,Kalyandurg,Goparam Govindarajulu,IND,169,190841
2019,Kalyandurg,M. Ramesh,VCK,129,190841
2019,Kalyandurg,Gonimanathota Pedda Obalesu,IND,97,190841
2019,Kalyandurg,C. Sreenivasulu,IND,87,190841
2019,Kalyandurg,Shaik Pakruddin,PPOI,82,190841
2019,Singanamala ,Padmavathy Jonnalagadda,YSRCP,118044,197466
2019,Singanamala ,Bandaru Sravani Sree,TDP,71802,197466
2019,Singanamala ,Nota,NOTA,2340,197466
2019,Singanamala ,Dr. Sake. Sailajanath,INC,1384,197466
2019,Singanamala ,Midde Ravindra Babu,BSP,1358,197466
2019,Singanamala ,Challa. Chinna Venkatesu,BJP,1046,197466
2019,Singanamala ,Kodamala Obulesu,IND,739,197466
2019,Singanamala ,M. Obulapathi,IND,492,197466
2019,Singanamala ,M.Surendra,PPOI,141,197466
2019,Singanamala ,Adinarayana. S,IND,120,197466
2019,Tadipatri,K. Pedda Reddy,YSRCP,92911,187874
2019,Tadipatri,Ashmit Reddy.J.C.,TDP,85400,187874
2019,Tadipatri,Kadiri.Sreekanth Reddy,JSP,2642,187874
2019,Tadipatri,Nota,NOTA,2063,187874
2019,Tadipatri,Gujjala Nagi Reddy,INC,1881,187874
2019,Tadipatri,Jangamreddy.Ankal Reddy,BJP,1619,187874
2019,Tadipatri,Bingi Prasad,IND,433,187874
2019,Tadipatri,Ramineni Ramamohan,IND,291,187874
2019,Tadipatri,B. Jagadeeswara Reddy,AIFB,243,187874
2019,Tadipatri,Mamilla. Narayana Swamy.,IND,229,187874
2019,Tadipatri,Paluru. Neelakanta. Achari,IND,162,187874
2019,Guntakal,Y.Venkatarama Reddy,YSRCP,106922,191057
2019,Guntakal,R.Jitendra Gowd,TDP,58390,191057
2019,Guntakal,Kotrike Madhusudan,JSP,19878,191057
2019,Guntakal,K.Prabhakar,INC,2090,191057
2019,Guntakal,Nota,NOTA,1547,191057
2019,Guntakal,Pasupula Hariharanath,BJP,1163,191057
2019,Guntakal,M.Ramanjaneyulu,IND,249,191057
2019,Guntakal,Thanniru Sreenivasulu,IND,186,191057
2019,Guntakal,S.Rammohan,IND,184,191057
2019,Guntakal,Gopa Hemalatha,PPOI,176,191057
2019,Guntakal,P.Venkatesh,JSRP,96,191057
2019,Guntakal,Kallamadi Satya Sudarsana Gupta,IND,88,191057
2019,Guntakal,Akula Murali Krishna,IND,88,191057
2019,Uravakonda,Payyavula Keshav,TDP,90209,186756
2019,Uravakonda,Y. Visweswara Reddy,YSRCP,88077,186756
2019,Uravakonda,Podapati. Rama Naidu,INC,2394,186756
2019,Uravakonda,Nota,NOTA,1517,186756
2019,Uravakonda,Sake Ravikumar,JSP,1323,186756
2019,Uravakonda,Kotha Sreenivasulu,BJP,757,186756
2019,Uravakonda,D. Radha,IND,651,186756
2019,Uravakonda,S. Venkateswara,IND,419,186756
2019,Uravakonda,D. Shivakumar,PPOI,385,186756
2019,Uravakonda,M. Visweswaraiah,IND,252,186756
2019,Uravakonda,V. Kesava Narayana,IND,211,186756
2019,Uravakonda,Viswanatha Reddy.K,PSHP,184,186756
2019,Uravakonda,B. Rajesh,IND,106,186756
2019,Uravakonda,Molak. Balaramanjineyulu,IND,102,186756
2019,Uravakonda,Kuruba Laleppa,IND,91,186756
2019,Uravakonda,Kummathi Hanumantha Reddy,IND,78,186756
2019,Rayadurg,Kapu Ramachandra Reddy,YSRCP,109043,216112
2019,Rayadurg,Kalava Srinivasulu,TDP,94994,216112
2019,Rayadurg,Nota,NOTA,3883,216112
2019,Rayadurg,Manjunath Gowd,JSP,2445,216112
2019,Rayadurg,M.B.Chinnappayya,INC,2338,216112
2019,Rayadurg,S.Raghavendra,IND,972,216112
2019,Rayadurg,J.Vasundara,BJP,824,216112
2019,Rayadurg,C.Srinivasulu,IND,582,216112
2019,Rayadurg,Ramchandrareddy.U,IND,383,216112
2019,Rayadurg,Yadav Sreenivasulu,IND,331,216112
2019,Rayadurg,Kavali Sreenivasulu,IND,162,216112
2019,Rayadurg,M.Srinivasulu,PPOI,155,216112
