year,name,cname,abr,votes,tot
1978,Anantapur Urban,Meda Subbaiah,JNP,24869,96591
1978,Anantapur Urban,B.T.L.N. Chowdary,INC(I),28204,96591
1983,Anantapur Urban,N. Srinivasa,IND,89,118791
1983,Anantapur Urban,Adavula Narayana,IND,112,118791
1983,Anantapur Urban,M. Ramachandra Rao,JNP,469,118791
1983,Anantapur Urban,P. Bugganna,BJP,3278,118791
1983,Anantapur Urban,B.T.L.N. Chowdary,INC,17791,118791
1983,Anantapur Urban,Devineni Narayanaswamy,IND,57255,118791
1985,Anantapur Urban,N. Veeranjaneyulu,IND,109,131428
1985,Anantapur Urban,Rentala Sudhakara Gupta,IND,386,131428
1985,Anantapur Urban,A. Narayana Reddy,INC,36294,131428
1985,Anantapur Urban,N. Ramakrishna,TDP,43715,131428
1989,Anantapur Urban,T. Sree Ramulu,IND,172,174807
1989,Anantapur Urban,M. Usman,DMM,329,174807
1989,Anantapur Urban,K. Guruswamy Yadav,BSP,413,174807
1989,Anantapur Urban,Kammuri Saifulla,TDP,41288,174807
1989,Anantapur Urban,Bodimalla Narayana Reddy,INC,63601,174807
1994,Anantapur Urban,R. Harinath Reddy,IND,47,200760
1994,Anantapur Urban,K.G. Surendranath Yadav,SP,122,200760
1994,Anantapur Urban,K. Gaffoor,IND,317,200760
1994,Anantapur Urban,Kakshmaiah,IND,427,200760
1994,Anantapur Urban,Veluri Kesava Chowdary,BJP,3906,200760
1994,Anantapur Urban,B. Narayana Reddy,INC,45930,200760
1994,Anantapur Urban,K. Ramakrishna,CPI,68294,200760
1999,Anantapur Urban,K. Prabhakara Rao,IND,179,233147
1999,Anantapur Urban,B. Narayana Reddy,IND,383,233147
1999,Anantapur Urban,K. Ramakrishna,CPI,6690,233147
1999,Anantapur Urban,V. Prabhakar Chowdary,TDP,56651,233147
1999,Anantapur Urban,B. Narayana Reddy,INC,60116,233147
2004,Anantapur Urban,Jonnakuti Ananta Venkata Reddy,IND,134,246290
2004,Anantapur Urban,G. Nagaraju,IND,149,246290
2004,Anantapur Urban,D. Govinda Reddy,IND,178,246290
2004,Anantapur Urban,Thimmapuram Udaya Kumar,BJRP,273,246290
2004,Anantapur Urban,Masulu Sreenivasulu,NTRTDP(LP),279,246290
2004,Anantapur Urban,Smt G. Lalitha,IND,352,246290
2004,Anantapur Urban,B. Nagasankar Reddy,IND,541,246290
2004,Anantapur Urban,K. Venkata Ramana,IND,605,246290
2004,Anantapur Urban,G. Haribabu,PPOI,732,246290
2004,Anantapur Urban,R. Rangappa,IND,931,246290
2004,Anantapur Urban,S. Shaikshavali,BSP,936,246290
2004,Anantapur Urban,T. Atmarami Reddy,IND,4224,246290
2004,Anantapur Urban,V. Prabhakar Chowdary,IND,24084,246290
2004,Anantapur Urban,K.M. Rahamthullah,TDP,38278,246290
2004,Anantapur Urban,B. Narayana Reddy,INC,76059,246290
2009,Anantapur Urban,D Rama Krishna,IND,81,229876
2009,Anantapur Urban,Avulanna Kullayappa,IND,82,229876
2009,Anantapur Urban,V Anjaneyulu,RDHP,98,229876
2009,Anantapur Urban,Chakala Nagaraju,IND,106,229876
2009,Anantapur Urban,D Riyaz,IND,119,229876
2009,Anantapur Urban,S Phani Kumar,IND,141,229876
2009,Anantapur Urban,K Basha,CPI(ML)(L),207,229876
2009,Anantapur Urban,Dasari Adinarayana,IND,214,229876
2009,Anantapur Urban,G Lalitha,IND,284,229876
2009,Anantapur Urban,K Vijaya Kumar,PPOI,329,229876
2009,Anantapur Urban,Syed Fayazuddin,BJP,728,229876
2009,Anantapur Urban,Kasani Nagaraju,BSP,1352,229876
2009,Anantapur Urban,S Salar Basha,IND,2156,229876
2009,Anantapur Urban,Doctor K Kondaiah,LSP,4314,229876
2009,Anantapur Urban,T J Prakash,PRAP,28489,229876
2009,Anantapur Urban,Mahalakshmi Sreenivasulu,TDP,32033,229876
2009,Anantapur Urban,B Gurunatha Reddy,INC,45275,229876
2014,Anantapur Urban,C.Ramesh Gowd,RPS,75,505636
2014,Anantapur Urban,M.C.Baba Fakruddin,SP,84,505636
2014,Anantapur Urban,T.Sivadeep Ranjeet,STR,92,505636
2014,Anantapur Urban,D.Raghavendra,SUCI,103,505636
2014,Anantapur Urban,S. Abdul Azeez,IND,122,505636
2014,Anantapur Urban,S.Suryachandra Naidu,IND,127,505636
2014,Anantapur Urban,Md.Hassain,WPOI,153,505636
2014,Anantapur Urban,Shaik. Sardar Vali,IND,209,505636
2014,Anantapur Urban,S.Abdul Khadar,IND,215,505636
2014,Anantapur Urban,K.Guruvenkatavittal,IND,220,505636
2014,Anantapur Urban,Anke Kullayappa,BSP,271,505636
2014,Anantapur Urban,A.Vamsi Krishna,IND,308,505636
2014,Anantapur Urban,R.Chenna Rajesh Gowd,AAAP,327,505636
2014,Anantapur Urban,T.Natesh Chowdary,IND,366,505636
2014,Anantapur Urban,S.Ali,AIMIM,667,505636
2014,Anantapur Urban,K.Chiranjeevi Reddy,JASPA,766,505636
2014,Anantapur Urban,Mandla Valmiki Gangadhar,IND,835,505636
2014,Anantapur Urban,None Of The Above,NOTA,1094,505636
