name,mandal,year,age,area,community,edu,electioncat,occupation,party,sex,electedas
Pujari Yerri Swamy,Beluguppa,2001,,Gangavaram,,,,,INC,,MPTC President
Harmoniyam Anumayya,Bommanahal,2001,,Govindawada 2,,,,,TDP,,MPTC
Konakondala Shanthamma,Bommanahal,2001,,D Honnur,,,,,TDP,,MPTC
Y Chennappa,Bommanahal,2001,,Bonduru,,,,,TDP,,MPTC
Raketlappa,Bommanahal,2001,,Singanahalli,,,,,INC,,MPTC
Kavali Chandra Sekhar,Bommanahal,2001,,Govindawada 1,,,,,TDP,,MPTC
R Pushpa Latha,Bommanahal,2001,,Unthakal,,,,,TDP,,MPTC President
Oankaramma,Bommanahal,2001,,Kuruvalli,,,,,TDP,,MPTC
K Mallikarjuna,Bommanahal,2001,,Bommanahal,,,,,TDP,,MPTC
Vannurappa,Bommanahal,2001,,Bollanaguddam,,,,,TDP,,MPTC
P Maruthi Prasad,Bommanahal,2001,,Kolaganahalli,,,,,INC,,MPTC
B Indira,Bommanahal,2001,,Vadderi,,,,,INC,,MPTC
K Krishna,Bommanahal,2001,,Sreedaragatta,,,,,TDP,,MPTC
Yelama Raja,Bramhasamudram,2001,,West Kodipalli,,,,,INC,,MPTC
Govindamma,Bramhasamudram,2001,,Vepulaparthi,,,,,INC,,MPTC
Ratnamma,Bramhasamudram,2001,,Kannepalli,,,,,INC,,MPTC
Lokesh,Bramhasamudram,2001,,Byravanithippa,,,,,INC,,MPTC
Suvarnamma,Bramhasamudram,2001,,Theetakalllu,,,,,TDP,,MPTC
Kamalamma,Bramhasamudram,2001,,S Kondapuram,,,,,INC,,MPTC
K.Lokanatha Reddi,Bramhasamudram,2001,,Pillalapalli,,,,,INC,,MPTC
Rajanna,Bramhasamudram,2001,,Brahmasamudram,,,,,TDP,,MPTC
B P Thirupal Reddi,Bramhasamudram,2001,,Byrasamudram,,,,,INC,,MPTC
China Nagappa,Bukkapatnam,2001,,Kothakota,,,,,TDP,,MPTC
P Chinnappa,Bukkapatnam,2001,,Bukkapatnam 2,,,,,INC,,MPTC
Naga Lakshmi Dasari,Bukkapatnam,2001,,Krishnapuram,,,,,INC,,MPTC
Bachu Gangappa,Bukkapatnam,2001,,Pamudurthi,,,,,INC,,MPTC
Eswaraiah R,Bukkapatnam,2001,,Marala,,,,,INC,,MPTC
Bhagyamma,Bukkapatnam,2001,,Narasimpalli Thanda,,,,,INC,,MPTC
Desireddy Thulasi Eswaramma,Bukkapatnam,2001,,Bukkapatnam 3,,,,,INC,,MPTC
M Lakshmidevi,Bukkapatnam,2001,,Gasikavaripalli,,,,,IND,,MPTC
P Brundamma,Bukkapatnam,2001,,Agraharam,,,,,INC,,MPTC President
M Nagabhushana,Bukkapatnam,2001,,Bukkapatnam 1,,,,,TDP,,MPTC
Chenna Reddy Yeraguntal,Bukkapatnam,2001,,Siddarampuram,,,,,INC,,MPTC
A Parvathi,C.K.Palli,2001,,Medapuram 2,,,,,TDP,,MPTC
B Peddanna,C.K.Palli,2001,,Kanumukkala,,,,,TDP,,MPTC
M Prasadamma,C.K.Palli,2001,,Pyadindi,,,,,TDP,,MPTC President
Kotte Ramanjaneyulu,C.K.Palli,2001,,Mustikovila,,,,,TDP,,MPTC
Kota Ganganna,C.K.Palli,2001,,Nyamaddala Ii,,,,,TDP,,MPTC
J Narayanamma,C.K.Palli,2001,,Medapuram I,,,,,TDP,,MPTC
Dasari Savithramma,C.K.Palli,2001,,C K Pally  Ii,,,,,TDP,,MPTC
Talari Saraswathi,C.K.Palli,2001,,Ganginepalli,,,,,TDP,,MPTC
A Subbarayudu,C.K.Palli,2001,,Nyamaddala I,,,,,TDP,,MPTC
Yagatanagari Ramkrishna Reddy,C.K.Palli,2001,,Venkatampalli,,,,,TDP,,MPTC
