name,mandal,year,age,area,community,edu,electioncat,occupation,party,sex,electedas
Chandrappagari Bairavudu,Kothacheruvu,2001,,Iragampalli,,,,,TDP,,MPTC
P V Gari Krishnaveni,Kothacheruvu,2001,,Kothacheruvu 3,,,,,TDP,,MPTC
Korise Srinivasulu,Kudair,2001,,Marutla,,,,,IND,,MPTC
Harijana Obulamma,Kudair,2001,,Gotukur,,,,,TDP,,MPTC
H Sanganna,Kudair,2001,,Kudair,,,,,INC,,MPTC
Ramalaxmamma,Kudair,2001,,Udiripikonda,,,,,TDP,,MPTC
N Bhashu,Kudair,2001,,Ipperu,,,,,INC,,MPTC
K Srinivasulu,Kudair,2001,,Korrakodu,,,,,INC,,MPTC
K Ratnamma,Kudair,2001,,P Narayanapuram,,,,,INC,,MPTC
Ponnupati Meri Nirmalamma,Kudair,2001,,Thimmapuram,,,,,INC,,MPTC
G Ramanjanamma,Kudair,2001,,Cholasamudram,,,,,TDP,,MPTC
Durgamma,Kundurpi,2001,,Kariganipalli,,,,,INC,,MPTC
K.Ramadasu,Kundurpi,2001,,Kundurpi 1,,,,,TDP,,MPTC
Saradamma,Kundurpi,2001,,Enumuladoddi,,,,,TDP,,MPTC
Obulapthi,Kundurpi,2001,,Jambugumpala,,,,,CPI,,MPTC
Mukku Hanumaiah,Kundurpi,2001,,Malayanur,,,,,TDP,,MPTC
Siva Ligaiah,Kundurpi,2001,,Thumkunta,,,,,CPI,,MPTC
P.Premakka,Kundurpi,2001,,Besthavaripalli,,,,,INC,,MPTC
K.Laxmidevi,Kundurpi,2001,,Basapuram,,,,,INC,,MPTC
Narayana Reddi,Kundurpi,2001,,Nijavalli,,,,,TDP,,MPTC
Ganisab,Kundurpi,2001,,Appilepalli,,,,,INC,,MPTC
P.Girija,Kundurpi,2001,,Kundurpi 2,,,,,CPI,,MPTC President
Narasamma,Lepakshi,2001,,Konduru,,,,,TDP,,MPTC
V Adinarayanappa,Lepakshi,2001,,Lepakshi 1,,,,,INC,,MPTC
K Lakshmi Narasamma,Lepakshi,2001,,Manepalli,,,,,IND,,MPTC
M Mallanna,Lepakshi,2001,,Lepakshi 2,,,,,INC,,MPTC
Venkatesulu,Lepakshi,2001,,Cholasamudram,,,,,TDP,,MPTC President
T Anjamamma,Lepakshi,2001,,Pulamathi,,,,,TDP,,MPTC
Lakshmamma,Lepakshi,2001,,Kodipalli,,,,,TDP,,MPTC
Nagaraju,Lepakshi,2001,,Kanchisamudram,,,,,TDP,,MPTC
T Venkatesh,Lepakshi,2001,,Sirivaram,,,,,TDP,,MPTC
R Pyara Jan,Lepakshi,2001,,Mydugolam,,,,,INC,,MPTC
Mallikarjuna,Lepakshi,2001,,Kallur,,,,,TDP,,MPTC
Hanuma Naik,Madakasira,2001,,Melavoy 2,,,,,INC,,MPTC
Krishna Venamma,Madakasira,2001,,R Ananthapuram,,,,,TDP,,MPTC
Vetti Hanumanthappa,Madakasira,2001,,Govindapuram,,,,,INC,,MPTC
Raghu Ramappa,Madakasira,2001,,Madakasira 2,,,,,INC,,MPTC
Gopalappa K,Madakasira,2001,,Haresamudram,,,,,TDP,,MPTC
Laxmi Narsamma,Madakasira,2001,,Chandakacherla,,,,,INC,,MPTC
Anjinamma,Madakasira,2001,,Gowdanahalli,,,,,INC,,MPTC
Giri,Madakasira,2001,,Amidaladongi,,,,,TDP,,MPTC
Ramanjappa,Madakasira,2001,,Manur,,,,,INC,,MPTC
C Chikka Ramappa,Madakasira,2001,,Madakasira 6,,,,,INC,,MPTC
Junjanna,Madakasira,2001,,Madakasira 1,,,,,TDP,,MPTC
Ratnamma,Madakasira,2001,,Bullasamudram,,,,,INC,,MPTC
Putha Nigamma,Madakasira,2001,,Y B Halli,,,,,TDP,,MPTC
Sunandamma,Madakasira,2001,,Kallumarri,,,,,TDP,,MPTC
Laxmi Reddy,Madakasira,2001,,C Kodigepalli,,,,,INC,,MPTC
S Fayaz,Madakasira,2001,,Madakasira 3,,,,,TDP,,MPTC
K Laxmi Narsappa,Madakasira,2001,,Madakasira 4,,,,,TDP,,MPTC President
K Prabhakara Rao,Madakasira,2001,,Melavoy 1,,,,,TDP,,MPTC
T Venkatesulu,Madakasira,2001,,Madakasira 5,,,,,TDP,,MPTC
T Chowli Bai,Mudigubba,2001,,Kondaguttapalli,,,,,INC,,MPTC
Bukasa Shankara Naik,Mudigubba,2001,,Dorigallu,,,,,INC,,MPTC
Konduru Anjinamma,Mudigubba,2001,,Malakavemula,,,,,INC,,MPTC
Kolala Pedda Venkatramuldu,Mudigubba,2001,,Jonnalakothapalli,,,,,INC,,MPTC
M Eswaramma,Mudigubba,2001,,D C Revu,,,,,INC,,MPTC
Derangula Gangadevi,Mudigubba,2001,,Mallepalli,,,,,INC,,MPTC
Poratam Tiruppalu,Mudigubba,2001,,Chinnakotla,,,,,INC,,MPTC
Neeru Gattu Raghu Ramaiah,Mudigubba,2001,,Kodavandlapalli,,,,,INC,,MPTC
Goddumari Chinabayanna,Mudigubba,2001,,Sankepalli,,,,,INC,,MPTC
Annamaneni Prameelamma,Mudigubba,2001,,Mudigubba 2,,,,,TDP,,MPTC
Somala Rangamma,Mudigubba,2001,,Mudigubba 3,,,,,IND,,MPTC
D Srinivasa Reddy,Mudigubba,2001,,Marithadu,,,,,INC,,MPTC President
B.Vengamuni Choudary,Mudigubba,2001,,Mudigubba 1,,,,,TDP,,MPTC
B.China Appaswamy,Mudigubba,2001,,Mukthapuram,,,,,TDP,,MPTC
Anamaneni Prabhakaranaidu,Mudigubba,2001,,Mangalamadaka,,,,,TDP,,MPTC
T.Venkataramana,N.P.Kunta,2001,,N P Kunta,,,,,INC,,MPTC
Pamishetti Alivelamma,N.P.Kunta,2001,,East Nadimipalli,,,,,TDP,,MPTC
Gadikatla Samireddi,N.P.Kunta,2001,,P Kothapalli,,,,,TDP,,MPTC
C M G  Venkatasubbamma,N.P.Kunta,2001,,Daniyanicheruvu,,,,,TDP,,MPTC President
E.Nagamma,N.P.Kunta,2001,,Marrikommadinne,,,,,TDP,,MPTC
V.Eswara Reddi,N.P.Kunta,2001,,Velichelamala,,,,,TDP,,MPTC
Chitikineni Ramanjulu,N.P.Kunta,2001,,Pedaballi,,,,,INC,,MPTC
E Venkatanarayana,N.P.Kunta,2001,,Edurudona,,,,,TDP,,MPTC
Kommu Srinivasulu,Nallacheruvu,2001,,Ubicherla,,,,,INC,,MPTC
Parkala Vijaya Gouri,Nallacheruvu,2001,,Nallacheruvu 1,,,,,INC,,MPTC
Devala Vemmaiah,Nallacheruvu,2001,,Nallacheruvu 2,,,,,INC,,MPTC President
Chekka Uttamma,Nallacheruvu,2001,,K Poolakunta,,,,,INC,,MPTC
Kurukuru Prameelamma,Nallacheruvu,2001,,Oruvai,,,,,TDP,,MPTC
Kurukuru Niranjana Reddy,Nallacheruvu,2001,,P Kothapalli,,,,,INC,,MPTC
Gandipalli Nagabhushna Reddy,Nallacheruvu,2001,,Thavalamarri,,,,,TDP,,MPTC
Nallabothu Nagabhushana,Nallacheruvu,2001,,Talamarlavandlapalli,,,,,TDP,,MPTC
D Kulli Naik,Nallamada,2001,,Nallamada 2,,,,,INC,,MPTC
Boppala Sri Ramulu,Nallamada,2001,,Donnikota,,,,,INC,,MPTC
Nunna Sivamma,Nallamada,2001,,Kurumala,,,,,INC,,MPTC
Agisam Pratap,Nallamada,2001,,Gopepalli,,,,,INC,,MPTC President
Kothakota Nagappa,Nallamada,2001,,Charupalli,,,,,INC,,MPTC
T Laxmi Devamma,Nallamada,2001,,Pulagampalli,,,,,INC,,MPTC
Agisam Varalaxmamma,Nallamada,2001,,Enumulavaripalli / Pathabathal,,,,,INC,,MPTC
S Shakunthalamma,Nallamada,2001,,Vellamaddi,,,,,TDP,,MPTC
M Venkataramanappa,Nallamada,2001,,Nallamada 1,,,,,TDP,,MPTC
Thalamarla Venkataramana,Nallamada,2001,,Reddipalli,,,,,TDP,,MPTC
A Kullai Reddy,Nallamada,2001,,Vankarakunta,,,,,TDP,,MPTC
Pedda Lakshmi,Narpala,2001,,Narpala 2,,,,,INC,,MPTC
Barika Peddanna,Narpala,2001,,H Sodanapalli,,,,,INC,,MPTC
Lakshmi Devi,Narpala,2001,,Venkatampalli,,,,,TDP,,MPTC
Venkataramudu,Narpala,2001,,Nadimidoddi,,,,,TDP,,MPTC
Narappa,Narpala,2001,,Chamalur,,,,,INC,,MPTC
Alam Chennappa Naidu,Narpala,2001,,Bondalawada,,,,,TDP,,MPTC
Venkatalakshmamma,Narpala,2001,,Duggumarri,,,,,INC,,MPTC
P Sivalakshmamma,Narpala,2001,,Narpala 3,,,,,TDP,,MPTC
Gavireddy  Lakshminarayanamma,Narpala,2001,,Bandalapalli,,,,,TDP,,MPTC
N Sadasivanaidu,Narpala,2001,,B Papur,,,,,TDP,,MPTC
Anthapu Sreeramireddy,Narpala,2001,,Ganganapalli,,,,,INC,,MPTC
Nallapati Umapathi,Narpala,2001,,Gugudu,,,,,TDP,,MPTC President
N Satyanarayana Reddy,Narpala,2001,,Narpala 1,,,,,INC,,MPTC
Kire Naik,O.D.Cheruvu,2001,,Kondakamarla  1,,,,,TDP,,MPTC
Kanakanti Ullakka,O.D.Cheruvu,2001,,T Kuntlapalli,,,,,TDP,,MPTC
Yarla Chinnamma,O.D.Cheruvu,2001,,Inagalur,,,,,CPI,,MPTC
Malmakula Gurramma,O.D.Cheruvu,2001,,Chintamanipalli,,,,,INC,,MPTC
Komiri Muneppa,O.D.Cheruvu,2001,,Allapalli,,,,,INC,,MPTC
Devarabai Laxmi Narayana,O.D.Cheruvu,2001,,Kondakamarla 2,,,,,INC,,MPTC
Beedireddy Saralamma,O.D.Cheruvu,2001,,Thangedukunta,,,,,TDP,,MPTC
Bollapalli Ramakrishnamma,O.D.Cheruvu,2001,,Venkatapuram,,,,,TDP,,MPTC
Nirmalamma,O.D.Cheruvu,2001,,Daburuvaripalli,,,,,INC,,MPTC
Malaka Aswartha Reddy,O.D.Cheruvu,2001,,Sunnampalli,,,,,INC,,MPTC
Akuthotha Vasundara,O.D.Cheruvu,2001,,O D Cheruvu,,,,,INC,,MPTC President
Shaik Hyder Vali,O.D.Cheruvu,2001,,Mittiapalli,,,,,INC,,MPTC
Untla Raghunath Reddy,O.D.Cheruvu,2001,,Thippepalli,,,,,TDP,,MPTC
Badri Naik,Pamidi,2001,,Palyam,,,,,INC,,MPTC
Ramajinamma,Pamidi,2001,,Yeddulapalli,,,,,INC,,MPTC
Harijanamadlapeda Sunkanna,Pamidi,2001,,Khaderpeta,,,,,TDP,,MPTC
Jangam Laxmi Devi,Pamidi,2001,,Gajarampalli,,,,,INC,,MPTC
T Parwathi Bai,Pamidi,2001,,Pamidi 12,,,,,INC,,MPTC
Javalakera Jaganatharao,Pamidi,2001,,Pamidi 9,,,,,BJP,,MPTC
Thunga Nagappa,Pamidi,2001,,Ramagiri,,,,,INC,,MPTC
B Guru Das,Pamidi,2001,,Venkarajukalva,,,,,TDP,,MPTC
Laxmi Devi,Pamidi,2001,,G Kottala,,,,,TDP,,MPTC
B Sulochanamma,Pamidi,2001,,Pamidi 13,,,,,INC,,MPTC
Yaparla Ranga Reddy,Pamidi,2001,,Ramarajupalli,,,,,INC,,MPTC
N V S Vasundhara Devi,Pamidi,2001,,Pamidi 10,,,,,INC,,MPTC President
B Srinivas Reddy,Pamidi,2001,,Pamidi 11,,,,,TDP,,MPTC
Laxmi Devamma,Parigi,2001,,Parigi Iii,,,,,INC,,MPTC President
T Govindappa,Parigi,2001,,Parigi Ii,,,,,INC,,MPTC
Pujanna,Parigi,2001,,Moda  I,,,,,INC,,MPTC
Rajeswari,Parigi,2001,,Seegipally,,,,,TDP,,MPTC
G Ashvathappa,Parigi,2001,,Utakur,,,,,TDP,,MPTC
Venkampalli Srinivasulu,Parigi,2001,,Kodigenahalli  1,,,,,INC,,MPTC
Nagarthnamma,Parigi,2001,,Narsapuram,,,,,TDP,,MPTC
R Indiramma,Parigi,2001,,Sasanakota,,,,,TDP,,MPTC
Jayamma,Parigi,2001,,Sirekolam,,,,,IND,,MPTC
B Babi Reddy,Parigi,2001,,Beechiganipally,,,,,TDP,,MPTC
P Venkata Reddy,Parigi,2001,,Parigi I,,,,,INC,,MPTC
Ashwarthanarayana,Parigi,2001,,Moda Ii,,,,,TDP,,MPTC
C B Ravindra,Parigi,2001,,Kodiganahalli Ii,,,,,INC,,MPTC
T Nagarathna,Peddapappur,2001,,Muchukota,,,,,INC,,MPTC
Chinna Pullaiah,Peddapappur,2001,,Peddayekkalur,,,,,INC,,MPTC
Kondamla Sarojam,Peddapappur,2001,,Peddapappur,,,,,TDP,,MPTC
N Narayana Swamy,Peddapappur,2001,,K Narasapuram,,,,,INC,,MPTC
Punja Subbaiah,Peddapappur,2001,,Kummetha,,,,,TDP,,MPTC
U Runminamma,Peddapappur,2001,,Ammalladinne,,,,,INC,,MPTC
K Sai Mohan,Peddapappur,2001,,Somanapalli,,,,,INC,,MPTC President
G Chinna Obulesu Reddy,Peddapappur,2001,,Thabjila,,,,,TDP,,MPTC
J C Chintharanjan Reddy,Peddapappur,2001,,Jutur,,,,,TDP,,MPTC
H Lakshmi Narayanamma,Peddavadugur,2001,,Penakalapadu,,,,,TDP,,MPTC
R Yellappa,Peddavadugur,2001,,Peddavadugur,,,,,CPI,,MPTC
Pothula Kamalamma,Peddavadugur,2001,,Virupapuram,,,,,TDP,,MPTC
B Peddaranganna,Peddavadugur,2001,,Chitrachedu,,,,,INC,,MPTC
Kuruba Subbanna,Peddavadugur,2001,,Kristipadu,,,,,INC,,MPTC
Smt P Noorjahan,Peddavadugur,2001,,Medimakulapalli,,,,,TDP,,MPTC
P Nageswaramma,Peddavadugur,2001,,Gooty-anantapur,,,,,IND,,MPTC
M Jayalakshmi,Peddavadugur,2001,,Mallenipalli,,,,,TDP,,MPTC
C Vijayabhaskar Reddy,Peddavadugur,2001,,Appecherla,,,,,INC,,MPTC
Smt M K Lakshmi Bai,Peddavadugur,2001,,Dimmagudi,,,,,TDP,,MPTC President
Chittemreddy Rajasekhar Reddy,Peddavadugur,2001,,Ravuludiki,,,,,TDP,,MPTC
Subbe Naik,Penukonda,2001,,Nagalur,,,,,TDP,,MPTC
M P Muthyalamma,Penukonda,2001,,Venkatareddipalli,,,,,TDP,,MPTC
Ramanjanappa,Penukonda,2001,,Mavatur,,,,,TDP,,MPTC
Ediga Renukamma,Penukonda,2001,,Duddebanda,,,,,TDP,,MPTC
G B Murlidhar,Penukonda,2001,,Konapuram,,,,,TDP,,MPTC
B Meenakshamma,Penukonda,2001,,Penukonda 4,,,,,TDP,,MPTC
Talari Anjinappa,Penukonda,2001,,Settipalli,,,,,INC,,MPTC
G Alliveli,Penukonda,2001,,Penukonda 1,,,,,TDP,,MPTC President
Yasodamma,Penukonda,2001,,Munimadugu,,,,,TDP,,MPTC
A Mahammd Khan,Penukonda,2001,,Penukonda 2,,,,,TDP,,MPTC
C N Sreedhar,Penukonda,2001,,Penukonda 3,,,,,TDP,,MPTC
K P Pushpalatha,Penukonda,2001,,Ramapuram,,,,,TDP,,MPTC
Manchineela Venkata Ramudu,Penukonda,2001,,Guttur,,,,,TDP,,MPTC
Katla Chinna Lakshmamma,Putlur,2001,,Charlopalli,,,,,INC,,MPTC
N Srinivasulu,Putlur,2001,,Guruguchinthalapalli,,,,,INC,,MPTC
Lakshmi Devi,Putlur,2001,,Kadavakallu,,,,,INC,,MPTC
T Kullayappa,Putlur,2001,,Surepalli,,,,,TDP,,MPTC
Beduduri Nagalakshmamma,Putlur,2001,,Kummanamala,,,,,INC,,MPTC
Pydipa Saraswathi,Putlur,2001,,Yellutla,,,,,INC,,MPTC
Bhumireddy Ramachandrareddy,Putlur,2001,,Putlur,,,,,INC,,MPTC President
Ambati Venkataramanareddy,Putlur,2001,,Sanagalagudur,,,,,INC,,MPTC
Ambati Ramachandra Reddy,Putlur,2001,,S Vengannapalli,,,,,TDP,,MPTC
Kamburam Krishna Reddy,Putlur,2001,,Maddipalli,,,,,INC,,MPTC
P Srinivasulu Naik,Puttaparthi,2001,,Pedapalli,,,,,TDP,,MPTC
H Ganganna,Puttaparthi,2001,,Jagarajupalli,,,,,INC,,MPTC
Besta Laxmi Devamma,Puttaparthi,2001,,Nidimamidi,,,,,TDP,,MPTC
Murari Veera Narappa,Puttaparthi,2001,,Veengalammacheruvu,,,,,TDP,,MPTC
Kogiri Kesava,Puttaparthi,2001,,Enumulapalli,,,,,INC,,MPTC
Goduru Chennamma,Puttaparthi,2001,,Puttaparthi 2,,,,,TDP,,MPTC
K.Nagamani,Puttaparthi,2001,,Rachuvaripalli,,,,,INC,,MPTC
K P Ratnamma,Puttaparthi,2001,,Amagondapalyam,,,,,TDP,,MPTC
B.Bayyanna,Puttaparthi,2001,,Puttaparthi 1,,,,,INC,,MPTC
Pardhasarthi Reddi Beedupalli,Puttaparthi,2001,,Bramhanapalli,,,,,INC,,MPTC
Obula Reddibeedupalli,Puttaparthi,2001,,Beedupalli,,,,,INC,,MPTC President
Manda Gangamma,Ramagiri,2001,,Peruru 1,,,,,TDP,,MPTC
Marenna,Ramagiri,2001,,Pereru 2,,,,,TDP,,MPTC
B Parvathi,Ramagiri,2001,,Ramagiri,,,,,TDP,,MPTC
Kotte Balanarasimhudu,Ramagiri,2001,,Kuntimaddi,,,,,TDP,,MPTC
B C Bommaiah,Ramagiri,2001,,Motor Chinthalapally,,,,,TDP,,MPTC
Suguna,Ramagiri,2001,,Naganakota,,,,,TDP,,MPTC
Bandaru Linganna,Ramagiri,2001,,Ganthimarri,,,,,TDP,,MPTC President
K Varadappa,Ramagiri,2001,,Polepally,,,,,TDP,,MPTC
Peddanna,Rapthadu,2001,,Gondireddipalli,,,,,INC,,MPTC
A Nirmalamma,Rapthadu,2001,,Palacherla,,,,,INC,,MPTC
Chennamma,Rapthadu,2001,,Rapthadu,,,,,INC,,MPTC President
D Yellamma,Rapthadu,2001,,Parasannayapalli,,,,,INC,,MPTC
Narayanamma,Rapthadu,2001,,Hampapuram,,,,,INC,,MPTC
Y Swarajalakshmi,Rapthadu,2001,,M Bandameedapalli,,,,,INC,,MPTC
G Krishna Reddy,Rapthadu,2001,,Gandlaparthi,,,,,INC,,MPTC
S Venkata Reddy,Rapthadu,2001,,Bommeparthi,,,,,INC,,MPTC
P Kadirappa,Rapthadu,2001,,Marur,,,,,INC,,MPTC
Anjinamma,Rayadurg,2001,,Gramadatla,,,,,INC,,MPTC
Bheemappa,Rayadurg,2001,,Mallapuram,,,,,INC,,MPTC
Suseelamma,Rayadurg,2001,,B N Halli,,,,,TDP,,MPTC
Kumaraswamy,Rayadurg,2001,,Junjurampalli,,,,,INC,,MPTC President
K.Peddajandhara Naidu,Rayadurg,2001,,Veparalla,,,,,INC,,MPTC
Dokku Muthappa,Rayadurg,2001,,Chadam,,,,,INC,,MPTC
Kuruba Saraswathi,Rayadurg,2001,,Vadrahonnur,,,,,INC,,MPTC
G.Thippareddi,Rayadurg,2001,,Udegolam,,,,,INC,,MPTC
Erranna,Rayadurg,2001,,D-kondapuram,,,,,TDP,,MPTC
M Muthyalamma,Roddam,2001,,Cholemarri,,,,,TDP,,MPTC
G Anjaneyulu,Roddam,2001,,Thurakalapatnam,,,,,TDP,,MPTC
Gowni Padnavathamma,Roddam,2001,,Kogira,,,,,INC,,MPTC
K Chenna Kesavulu,Roddam,2001,,Roddam 2,,,,,TDP,,MPTC
S Subbarayappa,Roddam,2001,,Dodagatta,,,,,TDP,,MPTC
B Hanumanthaiah,Roddam,2001,,Nally,,,,,INC,,MPTC
G Tulasamma,Roddam,2001,,Peddamanthur,,,,,TDP,,MPTC
Vadla Rajamma,Roddam,2001,,R Locherla,,,,,TDP,,MPTC
Kithuru Ranganna,Roddam,2001,,M Kothapalli,,,,,TDP,,MPTC
P Chandra Mouli,Roddam,2001,,Roddam 1,,,,,TDP,,MPTC
D Srinivasulu,Roddam,2001,,Kalipi,,,,,TDP,,MPTC
U Chalapathi,Roddam,2001,,Naranagepalli,,,,,TDP,,MPTC President
Gangamma,Rolla,2001,,Gudduguriki,,,,,INC,,MPTC
Latha,Rolla,2001,,Rolla 1,,,,,INC,,MPTC President
Sakamma,Rolla,2001,,Rolla 2,,,,,INC,,MPTC
Eliyappa,Rolla,2001,,Ratnagiri,,,,,INC,,MPTC
Era Kammanna,Rolla,2001,,M Rayapuram,,,,,INC,,MPTC
Sivamma,Rolla,2001,,B G Halli 1,,,,,INC,,MPTC
H Rangaraju,Rolla,2001,,B G Halli 2,,,,,INC,,MPTC
Devaraju V,Rolla,2001,,Dodderi,,,,,INC,,MPTC
Ramappa,Rolla,2001,,Kaki,,,,,INC,,MPTC
Hanumakka,Settur,2001,,Cherlopalli,,,,,INC,,MPTC
K.Narayanappa,Settur,2001,,Settur,,,,,INC,,MPTC
Kariyamma,Settur,2001,,Chintarlapalli,,,,,INC,,MPTC
B.Ramabheemappa,Settur,2001,,Yatakal,,,,,INC,,MPTC President
K.Ramachari,Settur,2001,,Lakshmampalli,,,,,IND,,MPTC
A.Narasamma,Settur,2001,,Mulakaledu 1,,,,,CPI,,MPTC
K.Satyavathi,Settur,2001,,Khyrevu,,,,,INC,,MPTC
Thalari Raja Sekhar,Settur,2001,,Bachehalli,,,,,INC,,MPTC
K.Athaulla,Settur,2001,,Mulakaledu 2,,,,,INC,,MPTC
Kondamma,Singanamala,2001,,Kallumadi,,,,,BJP,,MPTC
Adi Narayana,Singanamala,2001,,Ullikallu,,,,,BJP,,MPTC President
Bedala Nagalaxmamma,Singanamala,2001,,Chakrayapeta,,,,,INC,,MPTC
Atte Pedda Hanumanthu,Singanamala,2001,,Sodanapalli,,,,,TDP,,MPTC
Mutyala Laxmi Narayana Reddy,Singanamala,2001,,Salakamcheruvu,,,,,INC,,MPTC
Kadagandla Ramakka,Singanamala,2001,,Rachupalli,,,,,BJP,,MPTC
Kasireddy Visalamma,Singanamala,2001,,Akuledu,,,,,INC,,MPTC
Tarimela Madhusudhana Reddy,Singanamala,2001,,Peravali,,,,,INC,,MPTC
Chakala Pedda Venkatesu,Singanamala,2001,,Singanamala,,,,,TDP,,MPTC
Gopinatha Reddy,Singanamala,2001,,Tarimala,,,,,BJP,,MPTC
D Krishna Reddy,Singanamala,2001,,Narsapuram(west),,,,,TDP,,MPTC
Nagaratnamma,Somandepalli,2001,,Chalakuru,,,,,TDP,,MPTC
A Anjaneyulu,Somandepalli,2001,,Challapalli,,,,,TDP,,MPTC
Vijayamma,Somandepalli,2001,,Nadimpalli,,,,,TDP,,MPTC
Giddaluru Varadappa,Somandepalli,2001,,Somandepalli 1,,,,,TDP,,MPTC President
D R Fakruddin,Somandepalli,2001,,Magecheruvu,,,,,TDP,,MPTC
D Varalakshmi,Somandepalli,2001,,Naginayanicheruvu,,,,,TDP,,MPTC
Kurshid Bhanu,Somandepalli,2001,,Thungodu,,,,,TDP,,MPTC
K Narayana,Somandepalli,2001,,Somandepalli 2,,,,,TDP,,MPTC
Kuruba Gangappa,Somandepalli,2001,,Mandli,,,,,TDP,,MPTC
Venkatappa,Somandepalli,2001,,Gudipalli,,,,,TDP,,MPTC
Pakkirugalla Nagalakshmi,Tadimarri,2001,,Tadimarri,,,,,INC,,MPTC
J Yesayya,Tadimarri,2001,,Narasimpalli,,,,,TDP,,MPTC
Chilla Narayanamma,Tadimarri,2001,,Chillakondapalli,,,,,INC,,MPTC
S Kulyappa,Tadimarri,2001,,M Agraharam,,,,,INC,,MPTC
Gandla Sreeramulu,Tadimarri,2001,,Dadithota,,,,,IND,,MPTC
Martati Yengamma,Tadimarri,2001,,Pinnadari,,,,,IND,,MPTC
Vadi Gopal Reddy,Tadimarri,2001,,Kunukuntla,,,,,INC,,MPTC
Chimmili Ramanjaineylu,Tadimarri,2001,,C C Revu,,,,,INC,,MPTC
Pattal Chandrasekhara Reddy,Tadimarri,2001,,Peddakotla,,,,,INC,,MPTC
Arakatavemula Kullayamma,Tadipatri,2001,,Aluru,,,,,TDP,,MPTC
Narayana,Tadipatri,2001,,Bhogasamudram,,,,,TDP,,MPTC
Shirolla Narayanamma,Tadipatri,2001,,Sajjaladinne,,,,,TDP,,MPTC
Thirumala Nagabhushanam,Tadipatri,2001,,Chinnapolamada,,,,,TDP,,MPTC
Channa Rama Govindu,Tadipatri,2001,,Gannavaripalli,,,,,TDP,,MPTC
J Mahaboob Basha,Tadipatri,2001,,Brahmanapalli,,,,,INC,,MPTC
Sangati Lalithamma,Tadipatri,2001,,Diguvapalli,,,,,INC,,MPTC
Rama Devi,Tadipatri,2001,,Urichinthala,,,,,IND,,MPTC
Yarrappareddigari Sunki Reddy,Tadipatri,2001,,Bondaladinne,,,,,INC,,MPTC President
Peddakotla Vasudeva Reddy,Tadipatri,2001,,Chukkalur,,,,,INC,,MPTC
G Ramakrishna Reddy,Tadipatri,2001,,Yerraguntapalli,,,,,INC,,MPTC
Indravath H Naik,Talupula,2001,,Edulakuntlapalli,,,,,INC,,MPTC
Udagala Ramachandara,Talupula,2001,,Kurli,,,,,BJP,,MPTC
Aluri Mushkinamma,Talupula,2001,,Vepamanipeta,,,,,INC,,MPTC
Satarla China Ganganna,Talupula,2001,,Udumulakurthi,,,,,TDP,,MPTC
Bathala Narayana,Talupula,2001,,Obulareddipalli,,,,,TDP,,MPTC
Koduru Vijayalaxmi,Talupula,2001,,Lakkasamudram,,,,,TDP,,MPTC President
Parigisetti Venkatalaxmamma,Talupula,2001,,Peddannavaripalli,,,,,TDP,,MPTC
Gorla Prameelamma,Talupula,2001,,Nutanakalva,,,,,TDP,,MPTC
O.Sudhir Reddi,Talupula,2001,,Odulapalli,,,,,TDP,,MPTC
Eddula Gopal,Talupula,2001,,Talupula 1,,,,,IND,,MPTC
Thota Narayanareddi,Talupula,2001,,Talupula 2,,,,,INC,,MPTC
Bhuksa Seena Naik,Tanakal,2001,,Kotapalli,,,,,INC,,MPTC
Buddella Umadevi,Tanakal,2001,,Bonthalapalli,,,,,INC,,MPTC
B Pullolla Ravindra,Tanakal,2001,,Tanakal  Iii,,,,,INC,,MPTC
N Lakshmi Narasamma,Tanakal,2001,,Kokkanti Ii (rachanepalli),,,,,TDP,,MPTC President
Srivelu Hasan Sab,Tanakal,2001,,Ethodu,,,,,INC,,MPTC
Korukuri Ramanappa,Tanakal,2001,,Tanakal I,,,,,INC,,MPTC
Beegala Nagamallappa,Tanakal,2001,,Cheekatimanipalli,,,,,INC,,MPTC
Yerrapalli Rajeshwaramma,Tanakal,2001,,Tavalam,,,,,TDP,,MPTC
D Pedda Lalithamma,Tanakal,2001,,K Mallireddipalli,,,,,TDP,,MPTC
Eddula Aswarthamma,Tanakal,2001,,Korthikota,,,,,TDP,,MPTC
Kadapala Narsimha Reddy,Tanakal,2001,,Tankal Ii,,,,,INC,,MPTC
Mude Sriramulu Naik,Tanakal,2001,,Ganenaik Thanda,,,,,TDP,,MPTC
Palavaru Chandra,Tanakal,2001,,T Sadam,,,,,INC,,MPTC
B Sulochanamma,Tanakal,2001,,Kokkanti I,,,,,TDP,,MPTC
Megavath Kale Naik,Uravakonda,2001,,Shaiksanipalli,,,,,TDP,,MPTC
Mastanappa Gari Erramma,Uravakonda,2001,,Raketla,,,,,TDP,,MPTC
H Mekala Vannurappa,Uravakonda,2001,,Peddakowkuntla 1,,,,,TDP,,MPTC
Madiga Naganna,Uravakonda,2001,,Peddakowkuntla 2,,,,,TDP,,MPTC
Dasari Jaya Laxmi,Uravakonda,2001,,Chinna Mustur,,,,,TDP,,MPTC
Nimbagal Govindamma,Uravakonda,2001,,Nerimatla,,,,,TDP,,MPTC
Aluru Guru Siddappa,Uravakonda,2001,,Amidala 1,,,,,TDP,,MPTC
