mandal,area,name,party
Penukonda,Duddebanda,Ediga Renukamma,TDP
Penukonda,Konapuram,G B Murlidhar,TDP
Penukonda,Penukonda-IV,B Meenakshamma,TDP
Penukonda,Settipalli,Talari Anjinappa,INC
Penukonda,Penukonda-I,G Alliveli,TDP
Penukonda,Munimadugu,Yasodamma,TDP
Penukonda,Penukonda-II,A Mahammd Khan,TDP
Penukonda,Penukonda-III,C N Sreedhar,TDP
Penukonda,Ramapuram,K P Pushpalatha,TDP
Penukonda,Guttur,Manchineela Venkata Ramudu,TDP
Putlur,Charlopalli,Katla Chinna Lakshmamma,INC
Putlur,Guruguchinthalapalli,N Srinivasulu,INC
Putlur,Kadavakallu,Lakshmi Devi,INC
Putlur,Surepalli,T Kullayappa,TDP
Putlur,Kummanamala,Beduduri Nagalakshmamma,INC
Putlur,Yellutla,Pydipa Saraswathi,INC
Putlur,Putlur,Bhumireddy Ramachandrareddy,INC
Putlur,Sanagalagudur,Ambati Venkataramanareddy,INC
Putlur,S Vengannapalli,Ambati Ramachandra Reddy,TDP
Putlur,Maddipalli,Kamburam Krishna Reddy,INC
Puttaparthi,Pedapalli,P Srinivasulu Naik,TDP
Puttaparthi,Jagarajupalli,H Ganganna,INC
Puttaparthi,Nidimamidi,Besta Laxmi Devamma,TDP
Puttaparthi,Veengalammacheruvu,Murari Veera Narappa,TDP
Puttaparthi,Enumulapalli,Kogiri Kesava,INC
Puttaparthi,Puttaparthi-II,Goduru Chennamma,TDP
Puttaparthi,Rachuvaripalli,K.Nagamani,INC
Puttaparthi,Amagondapalyam,K P Ratnamma,TDP
Puttaparthi,Puttaparthi-I,B.Bayyanna,INC
Puttaparthi,Bramhanapalli,Pardhasarthi Reddi Beedupalli,INC
Puttaparthi,Beedupalli,Obula Reddibeedupalli,INC
Ramagiri,Peruru-I,Manda Gangamma,TDP
Ramagiri,Pereru-II,Marenna,TDP
Ramagiri,Ramagiri,B Parvathi,TDP
Ramagiri,Kuntimaddi,Kotte Balanarasimhudu,TDP
Ramagiri,Motor Chinthalapally,B C Bommaiah,TDP
Ramagiri,Naganakota,Suguna,TDP
Ramagiri,Ganthimarri,Bandaru Linganna,TDP
Ramagiri,Polepally,K Varadappa,TDP
Rapthadu,Gondireddipalli,Peddanna,INC
Rapthadu,Palacherla,A Nirmalamma,INC
Rapthadu,Rapthadu,Chennamma,INC
Rapthadu,Parasannayapalli,D Yellamma,INC
Rapthadu,Hampapuram,Narayanamma,INC
Rapthadu,M Bandameedapalli,Y Swarajalakshmi,INC
Rapthadu,Gandlaparthi,G Krishna Reddy,INC
Rapthadu,Bommeparthi,S Venkata Reddy,INC
Rapthadu,Marur,P Kadirappa,INC
Rayadurg,Gramadatla,Anjinamma,INC
Rayadurg,Mallapuram,Bheemappa,INC
Rayadurg,B N Halli,Suseelamma,TDP
Rayadurg,Junjurampalli,Kumaraswamy,INC
Rayadurg,Veparalla,K.Peddajandhara Naidu,INC
Rayadurg,Chadam,Dokku Muthappa,INC
Rayadurg,Vadrahonnur,Kuruba Saraswathi,INC
Rayadurg,Udegolam-74,G.Thippareddi,INC
Rayadurg,D-Kondapuram,Erranna,TDP
Roddam,Cholemarri,M Muthyalamma,TDP
Roddam,Thurakalapatnam,G Anjaneyulu,TDP
Roddam,Kogira,Gowni Padnavathamma,INC
Roddam,Roddam-II,K Chenna Kesavulu,TDP
Roddam,Dodagatta,S Subbarayappa,TDP
Roddam,Nally,B Hanumanthaiah,INC
Roddam,Peddamanthur,G Tulasamma,TDP
Roddam,R Locherla,Vadla Rajamma,TDP
Roddam,M Kothapalli,Kithuru Ranganna,TDP
Roddam,Roddam-I,P Chandra Mouli,TDP
Roddam,Kalipi,D Srinivasulu,TDP
Roddam,Naranagepalli,U Chalapathi,TDP
Rolla,Gudduguriki,Gangamma,INC
Rolla,Rolla-I,Latha,INC
Rolla,Rolla-II,Sakamma,INC
Rolla,Ratnagiri,Eliyappa,INC
Rolla,M Rayapuram,Era Kammanna,INC
Rolla,B G Halli-I,Sivamma,INC
Rolla,B G Halli-II,H Rangaraju,INC
Rolla,Dodderi,Devaraju V,INC
Rolla,Kaki,Ramappa,INC
Settur,Cherlopalli,Hanumakka,INC
Settur,Settur,K.Narayanappa,INC
Settur,Chintarlapalli,Kariyamma,INC
Settur,Yatakal,B.Ramabheemappa,INC
Settur,Lakshmampalli,K.Ramachari,IND
Settur,Mulakaledu-I,A.Narasamma,CPI
Settur,Khyrevu,K.Satyavathi,INC
Settur,Bachehalli,Thalari Raja Sekhar,INC
Settur,Mulakaledu-II,K.Athaulla,INC
Singanamala,Kallumadi,Kondamma,BJP
Singanamala,Ullikallu,Adi Narayana,BJP
Singanamala,Chakrayapeta,Bedala Nagalaxmamma,INC
Singanamala,Sodanapalli,Atte Pedda Hanumanthu,TDP
Singanamala,Salakamcheruvu,Mutyala Laxmi Narayana Reddy,INC
Singanamala,Rachupalli,Kadagandla Ramakka,BJP
Singanamala,Akuledu,Kasireddy Visalamma,INC
Singanamala,Peravali,Tarimela Madhusudhana Reddy,INC
Singanamala,Singanamala,Chakala Pedda Venkatesu,TDP
Singanamala,Tarimala,Gopinatha Reddy,BJP
Singanamala,Narsapuram(West),D Krishna Reddy,TDP
Somandepalli,Chalakuru,Nagaratnamma,TDP
Somandepalli,Challapalli,A Anjaneyulu,TDP
Somandepalli,Nadimpalli,Vijayamma,TDP
Somandepalli,Somandepalli-I,Giddaluru Varadappa,TDP
Somandepalli,Magecheruvu,D R Fakruddin,TDP
Somandepalli,Naginayanicheruvu,D Varalakshmi,TDP
Somandepalli,Thungodu,Kurshid Bhanu,TDP
Somandepalli,Somandepalli-II,K Narayana,TDP
Somandepalli,Mandli,Kuruba Gangappa,TDP
Somandepalli,Gudipalli,Venkatappa,TDP
Tadimarri,Tadimarri,Pakkirugalla Nagalakshmi,INC
Tadimarri,Narasimpalli,J Yesayya,TDP
Tadimarri,Chillakondapalli,Chilla Narayanamma,INC
Tadimarri,M Agraharam,S Kulyappa,INC
Tadimarri,Dadithota,Gandla Sreeramulu,IND
Tadimarri,Pinnadari,Martati Yengamma,IND
Tadimarri,Kunukuntla,Vadi Gopal Reddy,INC
Tadimarri,C C Revu,Chimmili Ramanjaineylu,INC
Tadimarri,Peddakotla,Pattal Chandrasekhara Reddy,INC
Tadpatri,Aluru,Arakatavemula Kullayamma,TDP
Tadpatri,Bhogasamudram,Narayana,TDP
Tadpatri,Sajjaladinne,Shirolla Narayanamma,TDP
Tadpatri,Chinnapolamada,Thirumala Nagabhushanam,TDP
Tadpatri,Gannavaripalli,Channa Rama Govindu,TDP
Tadpatri,Brahmanapalli,J Mahaboob Basha,INC
Tadpatri,Diguvapalli,Sangati Lalithamma,INC
Tadpatri,Urichinthala,Rama Devi,IND
Tadpatri,Bondaladinne,Yarrappareddigari Sunki Reddy,INC
Tadpatri,Chukkalur,Peddakotla Vasudeva Reddy,INC
Tadpatri,Yerraguntapalli,G Ramakrishna Reddy,INC
Talupula,Edulakuntlapalli,Indravath H Naik,INC
Talupula,Kurli,Udagala Ramachandara,BJP
Talupula,Vepamanipeta,Aluri Mushkinamma,INC
Talupula,Udumulakurthi,Satarla China Ganganna,TDP
Talupula,Obulareddipalli,Bathala Narayana,TDP
Talupula,Lakkasamudram,Koduru Vijayalaxmi,TDP
Talupula,Peddannavaripalli,Parigisetti Venkatalaxmamma,TDP
Talupula,Nutanakalva,Gorla Prameelamma,TDP
Talupula,Odulapalli,O.Sudhir Reddi,TDP
Talupula,Talupula-I,Eddula Gopal,IND
Talupula,Talupula-II,Thota Narayanareddi,INC
Tanakal,Kotapalli,Bhuksa Seena Naik,INC
Tanakal,Bonthalapalli,Buddella Umadevi,INC
Tanakal,Tanakal  III,B Pullolla Ravindra,INC
Tanakal,Kokkanti II (Rachanepalli),N Lakshmi Narasamma,TDP
Tanakal,Ethodu,Srivelu Hasan Sab,INC
Tanakal,Tanakal I,Korukuri Ramanappa,INC
Tanakal,Cheekatimanipalli,Beegala Nagamallappa,INC
Tanakal,Tavalam,Yerrapalli Rajeshwaramma,TDP
Tanakal,K Mallireddipalli,D Pedda Lalithamma,TDP
Tanakal,Korthikota,Eddula Aswarthamma,TDP
Tanakal,Tankal II,Kadapala Narsimha Reddy,INC
Tanakal,Ganenaik Thanda,Mude Sriramulu Naik,TDP
Tanakal,T Sadam,Palavaru Chandra,INC
Tanakal,Kokkanti I,B Sulochanamma,TDP
Uravakonda,Shaiksanipalli,Megavath Kale Naik,TDP
Uravakonda,Raketla,Mastanappa Gari Erramma,TDP
Uravakonda,Peddakowkuntla - 1,H Mekala Vannurappa,TDP
Uravakonda,Peddakowkuntla - 2,Madiga Naganna,TDP
Uravakonda,Chinna Mustur,Dasari Jaya Laxmi,TDP
Uravakonda,Nerimatla,Nimbagal Govindamma,TDP
Uravakonda,Amidala - 1,Aluru Guru Siddappa,TDP
Uravakonda,Budagavi,P Vannurappa,INC
Uravakonda,Nimbagal,Adoni Boya Gurudas,TDP
Uravakonda,Uravakonda-2,Chidarapadu Sunkanna,TDP
Uravakonda,Uravakonda-3,Madineni Chandrakala,TDP
Uravakonda,Uravakonda-5,Erramma,TDP
Uravakonda,Uravakonda-7,E Girijamma,TDP
Uravakonda,Amidala-2,Veluri Padmavathi,TDP
Uravakonda,Lathavaram,Chinnapolu Vannur Swamy,TDP
Uravakonda,Mopidi,Kondeti Laxmanna,TDP
Uravakonda,Uravakonda-1,Magbool,INC
Uravakonda,Uravakonda-4,S Venkateswara,IND
Uravakonda,Uravakonda-6,Chintha Venkataiah,IND
Vajrakarur,Thatrakal,Bassi Muni,INC
Vajrakarur,Konakondla-2,Sake Dhanamma,INC
Vajrakarur,Vajrakarur-1,Pamidi Anjanaiah,TDP
Vajrakarur,Gulapalem,G Lakshmikanthamma,INC
Vajrakarur,P C Pyapalli,Besta Sunkamma,TDP
Vajrakarur,Pandikunta,P Srinivasulu Naidu,TDP
Vajrakarur,Gadehothur,Sirivaram Rajendra Prasad,INC
Vajrakarur,Chabala,Narayanappa,INC
Vajrakarur,Chayapuram,Daruru Kamalamma,TDP
Vajrakarur,Vajrakarur-2,T Vara Lakshmi,TDP
Vajrakarur,Venkatampalli,Ramavath Sanenaik,INC
Vajrakarur,Konakondla-1,Ramachandra,INC
Vajrakarur,Ragulapadu,P Narasimha Reddy,TDP
Vidapanakal,Gadekal,Harijan Chinna Beemakka,TDP
Vidapanakal,Palthur-1,Bommaiahgari Hemavathi,TDP
Vidapanakal,Undabanda,Kuruba Parvathamma,TDP
Vidapanakal,V Kothakota,Jinka Lakshmi Devi,TDP
Vidapanakal,Hanchanahal,Dasari Renuka,TDP
Vidapanakal,Havaligi,Bangaru Yerriswamy,INC
Vidapanakal,Vidapanakal,Jogi Yerriswamy,TDP
Vidapanakal,Karakamukkala,P Shakuntala,INC
Vidapanakal,Veligonda,Thimmapuram Vasundaramma,TDP
Vidapanakal,Donekal,Gutla Venkatesulu,TDP
Vidapanakal,Kottalapalli,Modupalli Ramanjaneyulu,IND
Vidapanakal,Palthur-2,Madiga Yannappa,TDP
Vidapanakal,Poliki,Rayala Narayana Swamy,TDP
Yadiki,C Lakshmampalli,Goggira Balakka,INC
Yadiki,Chandana,Nallabothula Lakshminarayana,INC
Yadiki,Yadiki-II,Gunda Venkatamma,CPI
Yadiki,Yadiki-III,Goddumarri Dhanalakshmi,INC
Yadiki,Thutrallapalli,Pusa Sanjanna,CPI
Yadiki,P Vengannapalli,Mande Venkatareddy,INC
Yadiki,Boyareddypalli,Polamada Ramakrishna,TDP
Yadiki,Bogalakatta,Lakshmi Devi V,INC
Yadiki,Gudipadu,Madda Nagalakhsmamma,TDP
Yadiki,Rayalacheruvu,Madala Murali Naidu,INC
Yadiki,Yadiki-I,Bala Ravikishore,INC
Yadiki,Yadiki-IV (Pinnepalli),Orekanti Lakshmi Reddy,INC
Yellanur,Yellanur-2,Madasu Kamalamma,INC
Yellanur,Boppepalli,Nasolla Anjineyulu,INC
Yellanur,Yellanur-I,Dasari Nagamunemma,INC
Yellanur,Chilamakur,Narayanagari Ramachandrudu,INC
Yellanur,Bukkapuram,Pedda Nagaiah,INC
Yellanur,Goddumarri,Puchi Nagamma,INC
Yellanur,Vennapusapalli,Vennapusa Lakshmi Kanthammma,INC
Yellanur,Kallur,Kondala Naidu,INC
Yellanur,Chinthakayamanda,Kethi Reddy Peda Reddy,INC
Yellanur,Vemulapalli,Kasi Reddy Subbareddy,INC
