mandal,area,name,party
C K Palli,Ganginepalli,Talari Saraswathi,TDP
C K Palli,Nyamaddala I,A Subbarayudu,TDP
C K Palli,Venkatampalli,Yagatanagari Ramkrishna Reddy,TDP
C K Palli,C K Palli - I,S Raghunadha Reddy,TDP
C K Palli,Nagasamudram,Thipaiahgari Gopal Reddy,TDP
Chilamathur,Koduru-I,Thrragabatha Chowdamma,INC
Chilamathur,Chilamathur-III,Buttulu Adeppa,TDP
Chilamathur,Morasalapalli,B Venkatalakshmamma,INC
Chilamathur,Tekuledu,Narasimhappa,TDP
Chilamathur,Chagaleru,C A Surya Narayana,INC
Chilamathur,Koduru-II,V Sivappa,TDP
Chilamathur,Somagatta,K S Bramaramba,TDP
Chilamathur,Veerapuram,Lakshmidevamma,TDP
Chilamathur,Chilamathur-I,Lakshminarayanappa,INC
Chilamathur,Chilamathur-II,Surendra Reddy,TDP
Chilamathur,Settipalli,B Hanumantha Reddy,INC
Chilamathur,Demakethepalli,V Gangappa,TDP
Chilamathur,Kodikonda,M R Murali,INC
D Hirchal,Muradi,Tunkara Palli Parameswarappa,INC
D Hirchal,Nagalapuram,Kenjala Hanumakka,TDP
D Hirchal,Obulapuram,Karepparu Raju,TDP
D Hirchal,Madanahalli,Thurpanti Hanumanthappa,TDP
D Hirchal,Kadalur,Chinna Siruvallappa,INC
D Hirchal,M Hanumapuram,Nara Adilakshmi,TDP
D Hirchal,D Hirehal,Pushpavathi,TDP
D Hirchal,Kadlur,Vara Lakshmi,INC
D Hirchal,Pulakurthi,Marri Basappa,TDP
Dharmavaram,Elukuntla,V.Balajinaik,INC
Dharmavaram,Darsimala,Adilaxmi,INC
Dharmavaram,Mallakalva,R Srinivasulu,TDP
Dharmavaram,Gotlur-I,Ganduluri Rajamma,TDP
Dharmavaram,Chigicherla,Chelimi Sanjappa,TDP
Dharmavaram,Regatipalli,Mala Gundla Gurappa,TDP
Dharmavaram,Kunuthur,Thalari Pakkirappa,INC
Dharmavaram,Thummala,Krishnamma,INC
Dharmavaram,Ravulacheruvu,T.Narasimha Reddy,TDP
Dharmavaram,Pothulanagepalli,Sake Maddileti,TDP
Dharmavaram,Gotlur-II,Matteddula Obi Reddi,BJP
Gandlapenta,Chamalagondi,Buke Laxmi Narayana Naik,INC
Gandlapenta,Somayajulapalli,Manchipakula Narsimulu,TDP
Gandlapenta,Katarupalli,Bosetti Padmavathamma,INC
Gandlapenta,Gandlapenta,Kutagulla Badharvali,TDP
