mandal,area,name,party,sex,electioncat,year
NP Kunta,Edurudona,Yeddula Vedavathi,TDP,F,UR(W),2014
NP Kunta,M.K.Dinne,V. Nagamma,TDP,M?,UR,2014
NP Kunta,N.P.Kunta - Ii,N.Ravanamma,TDP,F,SC(W),2014
NP Kunta,N.P.Kunta-I,Shake Maqbul Bee,YSRCP,F,UR(W),2014
NP Kunta,P.Kothapalli,K.Gangulamma,TDP,F,UR(W),2014
NP Kunta,T.N.Palli,Pappi Reddy Powl Reddy,TDP,M?,UR,2014
NP Kunta,Velichelamala,V.Ramanamma,TDP,F,ST(W),2014
OD Cheruvu,Allapalli,Gurukulam Sreenivasa Reddy,YSRCP,M?,UR,2014
OD Cheruvu,Chithamanipalli,Boyapati Jaganmohan Chowdary,YSRCP,M?,UR,2014
OD Cheruvu,Daburuvaripalli,Kuppanagari Lakshmipathireddy,YSRCP,M?,UR,2014
OD Cheruvu,Inagaloore,Usharani. N,TDP,F,UR(W),2014
OD Cheruvu,Kondakamarla-I,G.Md.Ismail,TDP,M?,BC,2014
OD Cheruvu,Kondakamarla-Ii,Jayammagari Nagireddy,TDP,F,UR(W),2014
OD Cheruvu,Mittapalli,Vangireddy. Saraswa Thamma,YSRCP,F,UR(W),2014
OD Cheruvu,O.D.Cheruru-1,Boddu Aruna,YSRCP,F,BC(W),2014
OD Cheruvu,O.D.Cheruru-2,Bhukya Thulasi Bai,TDP,F,ST(W),2014
OD Cheruvu,Sunnampalli,Gudisipalli Ganganna,TDP,M?,SC,2014
OD Cheruvu,Thangedukunta,Reddivaripalli Arunamma,TDP,F,SC(W),2014
OD Cheruvu,Thippepalli,Yeddula Indiramma,TDP,F,UR(W),2014
OD Cheruvu,Thummalakuntlapalli,Yarramaneni Sankar  Naidu,TDP,M?,UR,2014
OD Cheruvu,Venkatapuram,Mallem Somusekhar,YSRCP,M?,BC,2014
Pamidi,Devrapalli,Ramanjinamma,TDP,F,SC(W),2014
Pamidi,Eddulapalli,Gandi Kota Jaya Kumar,TDP,M?,BC,2014
Pamidi,Edururu,Nageswaramma,TDP,M?,UR,2014
Pamidi,Gajaram Palli,Padmavathi,YSRCP,F,ST(W),2014
Pamidi,Khadara Peta,Peramasani Lakshamma,TDP,M?,UR,2014
Pamidi,Palyam Thanda,Gurram Sumithramma,TDP,M?,UR,2014
Pamidi,Ramagiri,B.Rajini,YSRCP,F,BC(W),2014
Pamidi,Vankaraju Kaluva,Dasari Ramudu,TDP,M?,BC,2014
Parigi,Beechiganipalli,S.Suvarnamma,IND,F,UR(W),2014
Parigi,Honnampalli,Anjinamma,TDP,F,BC(W),2014
Parigi,Kodigenahalli -I,M.Kristappa,TDP,M?,UR,2014
Parigi,Kodigenahalli -Ii,A.Lakshminarayana,TDP,M?,BC,2014
Parigi,Kodigenahalli -Iii,D.Venkataramana Swamy,TDP,M?,UR,2014
Parigi,Kodigenahalli -Iv,P.Sathyanarayana,TDP,M?,BC,2014
Parigi,Moda -I,N.Kumar,TDP,M?,UR,2014
Parigi,Moda -Ii,B.Gopi,TDP,M?,SC,2014
Parigi,Moda -Iii,C.Aruna,YSRCP,F,SC(W),2014
Parigi,P.Narasapuram,M.Shilpa,TDP,F,BC(W),2014
Parigi,Parigi -I,V.Chowdappa,TDP,M?,BC,2014
Parigi,Parigi -Ii,K.Parvathamma,TDP,F,UR(W),2014
Parigi,Sasanakota,U.G.Sreenivasulu,TDP,M?,UR,2014
Parigi,Seegipalli,E.Rathnamma,TDP,F,BC(W),2014
Parigi,Sreerangarajupalli -I,G.Anitha,TDP,F,SC(W),2014
Parigi,Sreerangarajupalli-Ii,K.Nagamma,TDP,F,UR(W),2014
Parigi,Utakur,S.N.Rama Lakshmamma,TDP,F,UR(W),2014
Peddapappur,Ammalladinne,Badiginchala. Nagarathnamma,TDP,F,BC(W),2014
Peddapappur,Chinnayakkalur,Diddekunta Narayanappa,YSRCP,M?,BC,2014
Peddapappur,Jutur,Asadu. Chinnakatamaiah,TDP,M?,SC,2014
Peddapappur,Muchukota,Rodda Suneetha,YSRCP,F,BC(W),2014
Peddapappur,Narasapuram,Peddakotla Subadramma,TDP,M?,UR,2014
Peddapappur,Pasalur,Gorthi Sreenivasulu,TDP,M?,UR,2014
Peddapappur,Peddapappur,Pulicherla Somaraju,TDP,M?,UR,2014
Peddapappur,Peddayakkalur,Lodugureddy Aruna,YSRCP,F,UR(W),2014
Peddapappur,Somanapalli,Lingutla Padmavathi,TDP,F,UR(W),2014
Peddapappur,Tabjula,K.Adilakshmi,TDP,F,SC(W),2014
Peddavadugur,Appecherla,Lakshminarayana,TDP,M?,BC,2014
Peddavadugur,Chitrachedu,K. Girappa,TDP,M?,SC,2014
Peddavadugur,Dimmagudi,Makireddy Mohan Reddy,YSRCP,M?,UR,2014
Peddavadugur,Gooty Anantapuramu,Mudiyam Muthyala Reddy,YSRCP,M?,UR,2014
Peddavadugur,Kristipadu - 2,R. Bhargavi,YSRCP,F,UR(W),2014
Peddavadugur,Kristipadu - 3,G. Ramadevi,YSRCP,F,SC(W),2014
Peddavadugur,Lakshum Palli,A. Varalakshmi,YSRCP,F,BC(W),2014
Peddavadugur,Medimakula Palli,G. Prabhavathi,YSRCP,F,UR(W),2014
Peddavadugur,Peddavadugur - 1,E. Eramma,YSRCP,F,BC(W),2014
Peddavadugur,Peddavadugur - 2,Talari Lakshminarayana,TDP,M?,BC,2014
Peddavadugur,Penakalapadu,K. Leelavathi,TDP,M?,UR,2014
Peddavadugur,Ravuludiki,Y. Nageswaramma,YSRCP,F,UR(W),2014
Peddavadugur,Virupapuram,K.Devamma,TDP,F,UR(W),2014
Penukonda,Duddebanda,J.Ramamohan Reddy,YSRCP,M?,UR,2014
Penukonda,Guttur,G.Yashodamma,TDP,F,UR(W),2014
Penukonda,Konapuram,B.Anitha,YSRCP,F,UR(W),2014
Penukonda,Kurubavandlapalli,H.Naagamma,TDP,F,SC(W),2014
Penukonda,Mavatur,M.Jayamma,TDP,F,UR(W),2014
Penukonda,Munimadugu,V.Nagappa,YSRCP,M?,SC,2014
Penukonda,Nagalur,P.Hanumantha Reddy,TDP,M?,UR,2014
Penukonda,Penukonda-I,G.Ajai Kumar Reddy,YSRCP,M?,UR,2014
Penukonda,Penukonda-Ii,D.M.D. Umar Farooq,YSRCP,M?,BC,2014
Penukonda,Penukonda-Iii,A.Rahamthulla,YSRCP,M?,BC,2014
Penukonda,Penukonda-Iv,P.Shahanaz,YSRCP,M?,UR,2014
Penukonda,Penukonda-V,G.Murali Mohan,YSRCP,M?,UR,2014
Penukonda,Penukonda-Vi,M.Ramanamma,TDP,M?,BC,2014
Penukonda,Rampuram,Ramanjinamma,TDP,F,ST(W),2014
Penukonda,Settipalli,D.Ciddaiah,TDP,M?,UR,2014
Penukonda,Venkatareddypalli,B.Joythi Jagannath,TDP,F,UR(W),2014
Putlur,Arakatavemula,Yallamma,TDP,F,SC(W),2014
Putlur,Doseledu,Gangadevipalli Munemma,TDP,F,BC(W),2014
Putlur,Kadavakallu,Motati Jayasree,TDP,F,UR(W),2014
Putlur,Komatikunla,Chavva Polirerddy,YSRCP,M?,UR,2014
Putlur,Kummanamala,V.Nadipiramanjaneyulu,YSRCP,M?,SC,2014
Putlur,Maddipalli,Yarragolla Eswaramma,YSRCP,F,BC(W),2014
Putlur,Putlur,Bhumireddy Sunitha,YSRCP,M?,UR,2014
Putlur,S.Vengannapalli,Kummetha Sujatha,TDP,M?,UR,2014
Putlur,Sanagalguduru,Bhajantri Subbarayudu,IND,M?,BC,2014
Putlur,Surepalli,Madineni Anuradha,TDP,F,UR(W),2014
Putlur,Yellutla,Pidapa Swrswathi,YSRCP,F,UR(W),2014
Puttaparthy,Amagondapalem,Y.Kalpana,TDP,F,UR(W),2014
Puttaparthy,Cherlopalli,M.Suseela,YSRCP,F,ST(W),2014
Puttaparthy,Jagarajupalli,A.Kamalamma,TDP,M?,UR,2014
Puttaparthy,Nidimamidi,H.Lakshmi Devi,TDP,F,SC(W),2014
Puttaparthy,Pedapalli-I,A.Usha Rani,YSRCP,F,UR(W),2014
Puttaparthy,Pedapalli-Ii,M.Bommaiah,TDP,M?,BC,2014
Puttaparthy,Rachuvari Palli,Namburi Rangappa,TDP,M?,UR,2014
Puttaparthy,Vengalammacheruvu,R.Ramadevi,TDP,M?,UR,2014
Ramagiri,Ganthimarri,Anjaneyulu,TDP,M?,UR,2014
Ramagiri,Kondapuramu,Baavakka,YSRCP,F,SC(W),2014
Ramagiri,Kuntimaddi,Mallela Vani,YSRCP,F,BC(W),2014
Ramagiri,M.C.Palli,Golla Ramanjanamma,TDP,F,BC(W),2014
Ramagiri,Madapuramu,Ramanjaneyulu,TDP,M?,BC,2014
Ramagiri,Nasanakota,Kuraba Naga Ratnamma,TDP,F,UR(W),2014
Ramagiri,Peruru-I,B.G.Anjaneyulu,TDP,M?,UR,2014
Ramagiri,Peruru-Ii,S.Syamala,TDP,F,UR(W),2014
Ramagiri,Polepalli,M.Nagaraju,TDP,M?,SC,2014
Ramagiri,Ramagiri,Parandhama,TDP,M?,BC,2014
Rapthadu,Bommeparthy,Vanam Naganjinamma,YSRCP,F,BC(W),2014
Rapthadu,Gondireddypalli,S.Sainatha Naidu,TDP,M?,UR,2014
Rapthadu,Hampapuram,Y.Anjineyulu,TDP,M?,SC,2014
Rapthadu,M.Bandameedapalli,D.V.Prasad,TDP,M?,UR,2014
Rapthadu,M.Cherlopalli,Kapadam Naganna,YSRCP,M?,UR,2014
Rapthadu,Marur,G.Lakshmidevi,TDP,F,UR(W),2014
Rapthadu,Palacherla,Bandi Ramankathamma,YSRCP,F,BC(W),2014
Rapthadu,Prasannayapalli-I,Velpula Lakshmi,YSRCP,F,UR(W),2014
Rapthadu,Prasannayapalli-Ii,Bhumireddy Radha,YSRCP,F,UR(W),2014
Rapthadu,Rapthadu,G.Parandhama,TDP,M?,BC,2014
Rapthadu,Yerragunta,M.Kullayamma,TDP,F,SC(W),2014
Rayadurg,74 Udegolam,Kummari Purushotham,TDP,M?,UR,2014
Rayadurg,Avuladatla,H.Eswaramma,YSRCP,M?,SC,2014
Rayadurg,Baginayanakahalli,G.Ramanjineyulu,TDP,M?,BC,2014
Rayadurg,Bondanakal,Konthanapalli Yerramma,TDP,F,BC(W),2014
Rayadurg,D.Kondapuramu,Ananthamma,YSRCP,F,BC(W),2014
Rayadurg,Junjurampalli,M.Suresh,YSRCP,M?,BC,2014
Rayadurg,Kenchanapalli,Ramesh Babu,TDP,M?,UR,2014
Rayadurg,Mechiri,S.Mothibai,YSRCP,F,ST(W),2014
Rayadurg,Nagireddypalli,N.Thimmakka,TDP,F,BC(W),2014
Rayadurg,Pallepalli,Lakshmi,YSRCP,F,SC(W),2014
Rayadurg,T.Veerapuramu,Bharathi,YSRCP,F,UR(W),2014
Rayadurg,Vadrahonnur,Kuruba Bheemappa,YSRCP,M?,BC,2014
Roddam,Cholemarri,B.Parvathamma,TDP,F,UR(W),2014
Roddam,Dodagatta,A.Nirmala,TDP,F,UR(W),2014
Roddam,Kalipi,Dalavatam Anasuyamma,TDP,F,UR(W),2014
Roddam,Kambalapalli,Nagaraju,TDP,M?,UR,2014
Roddam,M.Kothapalli,Narasamma,TDP,F,SC(W),2014
Roddam,Nalluru,C.Sriramappa,TDP,M?,UR,2014
Roddam,Narnagepalli,Sivamma,TDP,F,SC(W),2014
Roddam,Peddamanthuru,D.Anjinamma,TDP,F,BC(W),2014
Roddam,R.Locherla,H.Padma,TDP,M?,BC,2014
Roddam,Reddipalli,Kanthamma,TDP,F,BC(W),2014
Roddam,Roddam - I,A.Narayanappa,TDP,M?,UR,2014
Roddam,Roddam - Ii,G.Narayanappa,TDP,M?,SC,2014
Roddam,Roddam - Iii,U.Narsimhulu,TDP,M?,UR,2014
Roddam,Sanipalli,K.V.Muthyalamma,TDP,F,UR(W),2014
Roddam,Thurakalapatnam,Kamalamma,TDP,M?,UR,2014
Rolla,Bg Halli,Hanumakka,TDP,F,SC(W),2014
Rolla,Dodderi,Girijamma,TDP,F,BC(W),2014
Rolla,Guddugurki,H.Aswathareddy,YSRCP,M?,BC,2014
Rolla,Hottebetta,H.Sivanna,YSRCP,M?,SC,2014
Rolla,Hulikunta,Ml.Lakshmidevamma,YSRCP,F,UR(W),2014
Rolla,Kaki,L Nagaraju,TDP,M?,UR,2014
Rolla,M Rayapuramu,B.Siddagangamma,TDP,M?,UR,2014
Rolla,Mallinamadugu,C Radha,TDP,F,UR(W),2014
Rolla,Rathnagiri,Krishnappa,TDP,M?,UR,2014
Rolla,Rolla 1,Ts Nagarathna,TDP,F,BC(W),2014
Rolla,Rolla 2,Rathnamma,TDP,F,UR(W),2014
Settur,Bachehalli,Harijana Ramappa,TDP,M?,SC,2014
Settur,Cherlopalli,Pujari Mahadevamma,IND,F,UR(W),2014
Settur,Chinnampalli,Harijana Sarojamma,TDP,F,SC(W),2014
Settur,Chintharlapalli,Kuruba Jayamma,TDP,F,BC(W),2014
Settur,Kanukuru,Kolimi Guruswamy,TDP,M?,BC,2014
Settur,Lakshmampalli,Golla Thimmakka,TDP,F,UR(W),2014
Settur,Makodiki,Kataru Thippareddy,TDP,M?,UR,2014
Settur,Mulakaledu,Talari Bommaiah,TDP,M?,UR,2014
Settur,Perugupalyam,Amaravathi Maanasa,TDP,F,BC(W),2014
Settur,Settur,B.Nagaraju,TDP,M?,UR,2014
Settur,Thippanapalli,Golla Kristappa,TDP,M?,BC,2014
Settur,Yatakallu,Dalavai Jayamma,TDP,F,UR(W),2014
Singanamala,Akuledu,Ankannagari Sunitha,TDP,M?,SC,2014
Singanamala,Chakrayapeta,C.Bhagyalakshmi,TDP,M?,UR,2014
Singanamala,Kallumadi,P.Subbanna,TDP,M?,BC,2014
Singanamala,Peravali,T. Lakshminarayanamma,TDP,F,BC(W),2014
Singanamala,Rachepalli,Sattireddy Amrutha,TDP,F,UR(W),2014
Singanamala,Salakamcheruvu,Agraharam Indravathi,TDP,M?,UR,2014
Singanamala,Singanamala - I,Chinnamekala Rajeswari,TDP,F,SC(W),2014
Singanamala,Singanamala -Ii,Kullayappa,TDP,M?,BC,2014
Singanamala,Sodanapalli,V.Lakshmidevi,TDP,F,UR(W),2014
Singanamala,Tarimela,Erikala Gangamma,TDP,F,ST(W),2014
Singanamala,Ullikallu,A.Anasuyamma,YSRCP,M?,UR,2014
Singanamala,West Narasapuram,Nagalakshmamma,TDP,F,SC(W),2014
Somandepalli,Brahmasamudram,H.Shyamalamma,TDP,F,SC(W),2014
Somandepalli,Chalakur,D.Rathnamma,TDP,F,UR(W),2014
Somandepalli,Challapalli,M.Suvarna,TDP,F,UR(W),2014
Somandepalli,Gudipalli,Gangadharappa,TDP,M?,UR,2014
Somandepalli,Kethaganicheruvu,Eswaramma,TDP,F,UR(W),2014
Somandepalli,Magecheruvu,Appaiahgari Ramanjaneyulu,TDP,M?,UR,2014
Somandepalli,Mandli,U.Anjaneyulu,TDP,M?,BC,2014
Somandepalli,Pandiparthi,Uppara Nirmala,TDP,F,BC(W),2014
Somandepalli,Somandepalli.I,V.Sreeramulu,TDP,M?,UR,2014
Somandepalli,Somandepalli.Ii,D.Vara Lakshmi,TDP,M?,BC,2014
Somandepalli,Somandepalli.Iii,G.Prabhakar,TDP,M?,UR,2014
Somandepalli,Somandepalli.Iv,Uppara Susheelamma,TDP,F,BC(W),2014
Somandepalli,Somandepalli.V,M.Kristappa,TDP,M?,SC,2014
Somandepalli,Thungodu,N. Eswaramma,YSRCP,F,BC(W),2014
Tadimarri,Atmakur,Saddala Kalpana,YSRCP,F,BC(W),2014
Tadimarri,Chillakondayapalli,Kodedala Rajasekhar,TDP,M?,UR,2014
Tadimarri,Chinna Chigulla Revu,K.Lakshmi Devi,TDP,F,BC(W),2014
Tadimarri,Dadithota,Chintalapalli Ramanamma,YSRCP,F,SC(W),2014
Tadimarri,Kunukuntla,Siriyala Kristaiah,YSRCP,M?,BC,2014
Tadimarri,Narasimpalli,Chinna Gari Venkatamma,TDP,F,UR(W),2014
Tadimarri,Peddakotla,Adireddy Gari Narapa Reddy,YSRCP,M?,UR,2014
Tadimarri,Pinnadari,S. Narayanamma,YSRCP,M?,SC,2014
Tadimarri,Tadimarri,S.Sumathamma,YSRCP,F,UR(W),2014
Tadipatri,Bhogasamudram,S.Nagalakshmi,TDP,F,UR(W),2014
Tadipatri,Bodaipalli,Kota Lakshmi Bhavani,TDP,F,UR(W),2014
Tadipatri,Bramhanapalli,Dorasingam Gari Dhanalakshmi,YSRCP,F,UR(W),2014
Tadipatri,Chinnapolamada,T. Mallikarjunareddy,TDP,M?,UR,2014
Tadipatri,Chukkalur,Medikurthi Narayanaswami,YSRCP,M?,UR,2014
Tadipatri,Diguvapalli,Dudekula Pedda Mabu,TDP,M?,BC,2014
Tadipatri,Gangadevipalli,T.Pullanna,TDP,M?,SC,2014
Tadipatri,Gannevaripalli - I,Kakarla Ranganayakulu,TDP,M?,UR,2014
Tadipatri,Gannevaripalli - Ii,B.Varalakshmi,TDP,F,UR(W),2014
Tadipatri,Gannevaripalli - Iii,V.Sujatha,TDP,F,BC(W),2014
Tadipatri,Peddapolamada,Yampalaku Linganna,TDP,M?,BC,2014
Tadipatri,Sajjaladinne,Nadipi Obulesu,YSRCP,M?,UR,2014
Tadipatri,Urichintala,Dabbudupalli Padmavathi,TDP,F,SC(W),2014
Tadipatri,Vanganur,T. Gurulakshmi,TDP,M?,BC,2014
Tadipatri,Venkatareddypalli,Bandaru Kullayamma,YSRCP,F,SC(W),2014
Tadipatri,Yerraguntapalli,P.Hemalatha,TDP,F,BC(W),2014
Talupula,Edulakuntlapalli,Pasuvula Aruna,TDP,F,BC(W),2014
Talupula,Kurli,Edagottu Anasuyamma,YSRCP,F,UR(W),2014
Talupula,"Lakkasamu 
Dram",R. Venkata Reddy,TDP,M?,UR,2014
Talupula,Nuthanakaluva,Udari Mallaiah,YSRCP,M?,BC,2014
Talupula,"Obula Reddy  
Palli",Barre. Lakshmidevi,TDP,F,UR(W),2014
Talupula,Odulapalli,Sujatha,YSRCP,F,UR(W),2014
Talupula,Peddannavari Palli,Poola Shubashinamma,YSRCP,M?,UR,2014
Talupula,Talupula-I,Rajipati Kullayappa,YSRCP,M?,BC,2014
Talupula,Talupula-Ii,S. Mahammad Rafi Naik,YSRCP,M?,UR,2014
Talupula,Talupula-Iii,Matra Sunithamma,YSRCP,F,ST(W),2014
Talupula,Udamalakurthy,A. Ramanjulu,TDP,M?,UR,2014
Talupula,Vepamanipeta,Velpula Lakshamamma,YSRCP,F,SC(W),2014
Tanakal,Balasamudram,Killa Gayathri,TDP,F,ST(W),2014
Tanakal,Bonthala         Palli,Nirmalamma.Y,YSRCP,F,UR(W),2014
Tanakal,Cheekatimani      Palli,Bada Sarojamma,TDP,F,UR(W),2014
Tanakal,Ethodu,Kadapala Radhamma,TDP,F,UR(W),2014
Tanakal,Geme Naik Thanda,J.Venkata Ramana,YSRCP,M?,BC,2014
Tanakal,Kokkanti,Yerragudi Kanthamma,TDP,F,SC(W),2014
Tanakal,Korthikota,Kayala Venkatramanappa Naidu,TDP,M?,BC,2014
Tanakal,Kotapalli,Gunthuri Venkateshu,YSRCP,M?,SC,2014
Tanakal,Mallireddypalli,Bhukya Lakshmi,TDP,M?,UR,2014
Tanakal,T.Sadum,Chinnakotla Rajamma,YSRCP,F,UR(W),2014
Tanakal,Tanakal - I,Sanam Peddareddeppa Reddy,YSRCP,M?,UR,2014
Tanakal,Tanakal - Ii,D.Balappa,TDP,M?,UR,2014
Tanakal,Tanakal - Iii,Chiruvela Noorjahan,TDP,F,BC(W),2014
Tanakal,Tavalam,Marpuri Sudhakar Reddy,TDP,M?,UR,2014
Uravakonda,Amidala-1,D.Murali,TDP,M?,UR,2014
Uravakonda,Amidala-2,V.Sunkarathnamma,TDP,M?,BC,2014
Uravakonda,Budagavi,K.Ananthamma,TDP,F,UR(W),2014
Uravakonda,Chinna Mustur,Boya Suvarnama,YSRCP,F,UR(W),2014
Uravakonda,Lathavaram,E.Chandrasakher,TDP,M?,SC,2014
Uravakonda,Mopidi,Bharath.M,YSRCP,F,SC(W),2014
Uravakonda,Nerimetla,H.Uligamma,YSRCP,F,UR(W),2014
Uravakonda,Nimbagal,J.Rajanna,TDP,M?,UR,2014
Uravakonda,Pedda Kowkuntal-1,B.Purusitham,TDP,M?,UR,2014
Uravakonda,Pedda Kowkuntal-2,V.Nirmala,TDP,F,UR(W),2014
Uravakonda,Raketla,R.Salamma,YSRCP,F,ST(W),2014
Uravakonda,Shaiksanipalli,B.P.Mallika,YSRCP,F,BC(W),2014
Uravakonda,Uravakonda-1,B.Haseena,TDP,F,BC(W),2014
Uravakonda,Uravakonda-11,M.C.Sathyavalthi,YSRCP,M?,BC,2014
Uravakonda,Uravakonda-11,P.Rajesh,TDP,M?,UR,2014
Uravakonda,Uravakonda-2,B.Athaula,TDP,M?,UR,2014
Uravakonda,Uravakonda-3,T.Varalakshmi,YSRCP,M?,BC,2014
Uravakonda,Uravakonda-5,C.Chandramma,YSRCP,F,UR(W),2014
Uravakonda,Uravakonda-6,C.Suseela,TDP,F,BC(W),2014
Uravakonda,Uravakonda-7,P.Ravisankar,YSRCP,M?,UR,2014
Uravakonda,Uravakonda-8,T.Sulochana,YSRCP,F,BC(W),2014
Uravakonda,Uravakonda-9,B.Vijaykumar,YSRCP,M?,SC,2014
Uravakonda,Vyasapuram,H.Sumithramma,YSRCP,F,SC(W),2014
Vajrakarur,Chabala,Talari Narayanappa,YSRCP,M?,BC,2014
Vajrakarur,Chayapuram,Uma Devi Konduru,TDP,F,SC(W),2014
Vajrakarur,Gadehothuru,Devendra,YSRCP,M?,BC,2014
Vajrakarur,Gulyapalyam,B.Ravi Kumar,YSRCP,M?,BC,2014
Vajrakarur,Konakondla - I,M.Jyothi,TDP,F,UR(W),2014
Vajrakarur,Konakondla Iii,C.Sree Devi,YSRCP,F,BC(W),2014
Vajrakarur,Konakondla-Ii,Ya Munaiah,YSRCP,M?,UR,2014
Vajrakarur,P.C.Pyapili,Bestha Naganna,TDP,M?,UR,2014
Vajrakarur,Pandikunta,Hampi Bai Ramavath,YSRCP,F,ST(W),2014
Vajrakarur,Ragulapdu,Bellary Ramanjineyulu,YSRCP,M?,SC,2014
Vajrakarur,Thatrkal,G.Estheramma,YSRCP,F,SC(W),2014
Vajrakarur,Vajrakarur - I,Singanamala Razia,YSRCP,F,BC(W),2014
Vajrakarur,Vajrakaruru - Ii,Sugali Venkatesh Naik,YSRCP,M?,ST,2014
Vajrakarur,Venkatampalli,Korra Venkatamma,YSRCP,F,UR(W),2014
Vidapanakal,Donekal,Patil Veerana Gowd,TDP,M?,BC,2014
Vidapanakal,Gadekal-2,B.Savitramma,YSRCP,F,UR(W),2014
Vidapanakal,Gadekal-4,Obulesu,YSRCP,M?,SC,2014
Vidapanakal,Hanchanhal,Dasari Pratap Naidu,TDP,M?,BC,2014
Vidapanakal,Havaligi-2,Anand,TDP,M?,UR,2014
Vidapanakal,Havaligi-2,Kuraba Ram Babu,YSRCP,M?,UR,2014
Vidapanakal,Karakamukkala,Boya Parvathi,TDP,F,UR(W),2014
Vidapanakal,P.Kottalapalli,Harijana Lakshmi Devi,TDP,F,SC(W),2014
Vidapanakal,Palthur-1,B.Kumara Swamy,TDP,M?,UR,2014
Vidapanakal,Palthur-2,K.Vajiya Bee,TDP,F,BC(W),2014
Vidapanakal,Poliki,Gajula Sujatha,TDP,F,UR(W),2014
Vidapanakal,Undabanda,Pachhayappa Gari Devi,YSRCP,F,BC(W),2014
Vidapanakal,V.Kothakota,Jinka Lakshmi reddy,TDP,M?,BC,2014
Vidapanakal,Velpumadugu,Boya Naga lakshmi,YSRCP,F,UR(W),2014
Vidapanakal,Vidapanakal,Matam Gangamma,YSRCP,F,BC(W),2014
Yadiki,23/2 Nittur,Chakali Ramanjaneyulu,YSRCP,M?,BC,2014
Yadiki,Chandana,Bolli Venkatalkshamma,YSRCP,F,UR(W),2014
Yadiki,Kamalapadu,Yatam Chalama Reddy,YSRCP,M?,UR,2014
Yadiki,Konauppalapadu,Kotte Ramachandra Reddy,YSRCP,M?,UR,2014
Yadiki,Nagaruru,Vennapusa Savithramma,TDP,F,UR(W),2014
Yadiki,Puppala,K.Venkata Lakshmidevi,TDP,F,UR(W),2014
Yadiki,Rayalacheruvu-I,Chakali Gurupadamma,TDP,F,BC(W),2014
Yadiki,Rayalacheruvu-Ii,Veluri Rangaiah,TDP,M?,UR,2014
Yadiki,Vemulapadu,Chukkaluru Vijayalakshmi,TDP,F,UR(W),2014
Yadiki,Yadiki-I,G.Ramesh Naidu,YSRCP,M?,UR,2014
Yadiki,Yadiki-Ii,Tandra Sreenivasulu,TDP,M?,BC,2014
Yadiki,Yadiki-Iii,Tandra Lakshmikanthamma,YSRCP,F,BC(W),2014
Yadiki,Yadiki-Iv,Pathikonda Nagasheshu,YSRCP,M?,SC,2014
Yadiki,Yadiki-V,Dadiyala Adinarayana,TDP,M?,BC,2014
Yadiki,Yadiki-Vi,Pamisetty Nagamani,YSRCP,F,BC(W),2014
Yadiki,Yadiki-Vii,Yerragundla Salamma,YSRCP,F,SC(W),2014
Yellanur,Boppepalli,Bandi.Ranga Devi,TDP,F,BC(W),2014
Yellanur,Chilamkuru,Putluru.Lakshmi Devi,YSRCP,F,UR(W),2014
Yellanur,Goddumarri,Ramalakshumma.P,YSRCP,F,SC(W),2014
Yellanur,Kalluru,Yallala.Subbamma,YSRCP,F,BC(W),2014
Yellanur,Mallagundla,Goonolla Muni Prasad,YSRCP,M?,SC,2014
Yellanur,Peddamallepalli,Rajakullayappa.S,YSRCP,M?,BC,2014
Yellanur,Thimmampalli,Penikalapati. Bharathamma,YSRCP,F,UR(W),2014
Yellanur,Vennpusapalli,Gattu. Obulamma,TDP,M?,UR,2014
Yellanur,Yellanuru-I,Peddagampanna Gari Thayanna,TDP,M?,UR,2014
Yellanur,Yellanuru-Ii,Bhoghathi Vijaya Prathapa Reddy,TDP,M?,UR,2014
