mandal,area,name,party,electioncat,communicaty,edu,age,sex,occupation,year
Tanakal,Kotapalli,Bheemana Seenappa,TDP,BCG,Boya,5TH,36,M,CULTIVATION,2006
Tanakal,MalliReddy Palli,Mude Narayana Naik,TDP,STG,,10TH,35,M,CULTIVATION,2006
Tanakal,T.Sadam,Marepalli Chandra Sekhar Reddy,TDP,URG,KAPU,,29,M,CULTIVATION,2006
Tanakal,Tanakal-I,Duginepalli Nagamma,TDP,SCW,Madiga,,47,F,,2006
Tanakal,Tankal-II,Gajula Rama Devi,TDP,URW,Balija,,29,F,,2006
Tanakal,Tankal-III,Indla Nagalakshmamma,TDP,,Madiga,,31,F,,2006
Tanakal,Tavalam,Sundupalli Adinarayana,TDP,SCG,Mala,Intermediate,29,M,CULTIVATION,2006
Uravakonda,Amidyala-1,Undabanda Pedda Yerriswamy,INC,,BC(Boya),5th Class,49,M,Farmer,2006
Uravakonda,Amidyala-2,Hariyana Yerramma,INC,SC(W),,,28,F,Farmer,2006
Uravakonda,Chinna Mustoor,C.Rajukumar,INC,,SC(Madiga),Inter,41,M,Labour,2006
Uravakonda,Lathavaram,Boya Lakshmi Devi,INC,BC(W),,,54,F,Farmer,2006
Uravakonda,Mopidi,Madamanchi Vimala,TDP,,OC(Kamma),,26,F,Farmer,2006
Uravakonda,Nerimetla,Rajala Yogendra Reddy,INC,,OC(Kapu),BSC,22,M,Farmer,2006
Uravakonda,Nimbagal,Devineni Sudhir Babu,INC,,OC(Kamma),Polytechnic,33,M,Farmer,2006
Uravakonda,Peddakoukuntla-2,D.Venkatanarasimhulu,TDP,BC(G),,,,Male,,2006
Uravakonda,Peddakowkuntla-1,Gogwoli Sriramulu,TDP,BC(G),,Inter,28,M,Farmer,2006
Uravakonda,Raketla,Yarralammagari Srinivasulu,INC,BC(G),,SSC,27,M,Farmer,2006
Uravakonda,Shaikshanipalli,H.Ramalingappa,TDP,SC-G,,Inter,28,M,Farmer,2006
Uravakonda,Uravakonda-1,A.Asis,TDP,,OC(Musilm),5th Class,30,M,Business,2006
Uravakonda,Uravakonda-2,Uppara Renuka,INC,,BC-D(Uppara,SSC,42,F,Farmer,2006
Uravakonda,Uravakonda-3,Gundluri Vannappa,INC,,OC(Balija),SSC,35,M,Farmer,2006
Uravakonda,Uravakonda-4,C.Maheswar,INC,BC(G),,Inter,39,M,Weaving,2006
Uravakonda,Uravakonda-5,Kammati Ramanjeneulu,INC,BC(G),,SSC,54,M,Business,2006
Uravakonda,Uravakonda-6,A.C.Yerriswamy,INC,SC(G),,Inter,32,M,Farmer,2006
Uravakonda,Uravakonda-7,Anjinappa,INC,ST(G),,7th class,42,M,Basket Making,2006
Uravakonda,Uravakonda-8,G.Ramalakshmi,INC,,BC-B(Thogata),5th Class,52,F,Weaving,2006
Uravakonda,Uravakonda-9,Ediga Umadevi,INC,BC(W),,7th class,33,F,Weaving,2006
Uravakonda,Veligonda,Desai Purushotham,INC,,OC(Lingayath),SSC fail,47,M,Farmer,2006
Vajrakarur,Chabala,Kumbaganta Sivalingappa,INC,UR(G),,,34,M,,2006
Vajrakarur,Chayapuram,Narayanaswamy,INC,UR(G),,4th Class,44,M,,2006
Vajrakarur,GadeHothur,Mallamma,INC,SC(W),,,29,F,,2006
Vajrakarur,Gulapalem,Sailaja,INC,UR(G),,SSC,39,F,,2006
Vajrakarur,Konakondla-3,Kondajugula Sreeramulu,INC,SC(G),,,,Male,,2006
Vajrakarur,Konakondla-I,Radhamma,INC,BC(W),,5th class,28,F,,2006
Vajrakarur,Konakondla-II,T.Ramaneneyulu,INC,BC(G),,6th class,39,M,,2006
Vajrakarur,P.C.Pyapili,Seethamma,INC,ST(W),,,28,F,,2006
Vajrakarur,Pandikunta,Poliki Nagaraju,INC,SC(G),,,28,M,,2006
Vajrakarur,Ragulapadu,Sankaramma,TDP,UR(W),,SSC,37,F,,2006
Vajrakarur,Thatrakal,Ramanjaneyulu,INC,BC(G),,BA,28,M,,2006
Vajrakarur,Vajrakarur-I,Gopi Suvarnamma,INC,UR(W),,,42,F,,2006
Vajrakarur,Vajrakarur-II,Usuf vali,INC,BC(G),,5th class,34,M,,2006
Vajrakarur,Venkatampalli,M.Lathamma,INC,BC(W),,7th class,44,F,,2006
Vidapanakal,Palthur-I,P.Hemalatha,INC,BC(W),,10 th class,22,F,Agriculture Labour,2006
Vidapanakal,Palthur-II,P.Maheswara Gowd,INC,UR(G),,Inter,36,M,Agriculture,2006
Vidapanakal,Donekal,V.Aruna,INC,UR(W),BC(W),10th class,22,F,Agriculture,2006
Vidapanakal,Gadekal,K.Sivappa,INC,BC(G),,,47,M,Agriculture,2006
Vidapanakal,Hachanahal,M.Lakshmi Devi,INC,UR(W),,9th class,28,F,Agriculture,2006
Vidapanakal,Havaligi-I,S.Polamma,INC,SC(W),,10th class,31,F,Agriculture Labour,2006
Vidapanakal,Havaligi-II,K.Sivasankaramma,INC,BC(W),,1st class,49,F,Agriculature,2006
Vidapanakal,Karakamukkala,K.Garinti Thimmappa,INC,BC(G),,10th class,40,M,Agriculture,2006
Vidapanakal,P.Kottalapali,G.Ravindra,TDP,UR(G),,10th class,31,M,Agriculture,2006
Vidapanakal,Poloki,D.Hajimalang Baba,TDP,BC(G),,BSC,45,M,Agriculture,2006
Vidapanakal,Undabanda,H.Veerabadri,TDP,SC(G),,1st class,41,M,Agriculture Labour,2006
Vidapanakal,V.Kothakota,D.Aswatha Reddy,TDP,UR(G),,10th class,47,M,Agriculture,2006
Vidapanakal,Velpumadugu,K.Paramesappa,TDP,BC(G),,BA,39,M,Agriculture,2006
Vidapanakal,Vidapanakal,V.VENKATA RAMANA REDDY,INC,UR(G),,INTER,43,M,Agriculture,2006
Yadiki,23/2 Nittur,S.Lakshmi Reddy,TDP,UR(G),,5th Class,43,M,Cultivation,2006
Yadiki,CHANDANA,Jaladurgam Ramanjanaeyulu,INC,BC(G),,5th Class,38,M,Cultivation,2006
Yadiki,Kamalapadu,Lakku Chedravathi,INC,UR(W),,5th Class,40,F,Cultivation,2006
Yadiki,Konuppalapadu,Gurrala Ramachendrudu,INC,BC(G),,,43,M,Cultivation,2006
Yadiki,NAGARUR,B.Bhaskar,INC,BCG),,5th Class,32,M,Cultivation,2006
Yadiki,PUPPALA,Modiyam Thirunatha Reddy,INC,UR(G),,10th Class,23,M,Cultivation,2006
Yadiki,Rayalacheruvu-I,Allapur Ramanjaneyulu,INC,UR(G),,Degree,21,M,Cultivation,2006
Yadiki,Rayalacheruvu-II,Murali Chandrakalavathi,INC,BC(W),,,22,F,Cultivation,2006
Yadiki,Vemulapadu,V.K.Aruna,Independent,UR(G),,,,Female,,2006
Yadiki,Yadiki-I,Bala Ananthamma,INC,BC(W),,9th class,54,F,House wife,2006
Yadiki,Yadiki-II,P.Balachowdaiah,CPI,UR(G),,,65,M,Cultivation,2006
Yadiki,Yadiki-III,G.Obaiah,INC,SC(G),,Degree,26,M,Cultivation,2006
Yadiki,Yadiki-IV,V.Parvathamma,INC,UR(W),,,49,F,Cultivation,2006
Yadiki,Yadiki-V,R.Lakshmamma,INC,SC(W),,,29,F,Cooli,2006
Yellanur,Boppepalli,M.Yashoda,INC,UR(W),,7th Class,37,Female Agrl.,,2006
Yellanur,Chilamakur,P.Venugopal Naidu,TDP,UR(G),,,32,Male,Agrl.,2006
Yellanur,Goddumarri,N.Ramanaidu,INC,UR(G),,10 th class,46,Male,Agrl.,2006
Yellanur,Kallur,Kothapalli Adenna,INC,SC(G),,,35,Male,Agrl.,2006
Yellanur,Mallagundla,K.Prameelamma,INC,BC(W),,6th class,30,Female Agrl.,,2006
Yellanur,Peddamallepalli,Harijana Venkatamma,INC,SC(W),,,39,Female Agrl.,,2006
Yellanur,Thimmampalli,Araveti Radha,INC,UR(W),,10 th class,33,Female Agrl.,,2006
Yellanur,Vennapusapalli,M.Sulochanadevi,CPI,BC(G),,5th Class,37,Female Agrl.,,2006
Yellanur,Yellanur-1,D.Ramulamma,TDP,UR(G),,5th Class,38,Female Agrl.,,2006
Yellanur,Yellanur-2,N.Yangamma,INC,BC(G),,,60,Female Agrl.,,2006
