age,community,edu,electedas,electioncat,mandal,name,party,sex,year
39,Boya,8th Class,ZPTC,BC(W),Vidapanakal,K.Erramma,INC,F,2006
26,Kapu,B.Sc,ZPTC,UR(W),Yadiki,A.Rajeswari,INC,F,2006
30,Madiga,10th Class,ZPTC,SC,Yellanur,Bala Polerappa,INC,M,2006
30,OC,MA (Lit),ZPTC,UR(W),Bathalapalli,K.Sudha,TDP,F,2006
37,Madiga,10th Class,ZPTC,SC,Beluguppa,Parvathaiah,TDP,M,2006
60,Kapu,PUC,ZPTC,UR,Bommanahal,P.Nalla Reddy,INC,M,2006
44,Magida,7th Class,ZPTC,SC,Bramhasamudra M,HB.Gangappa,TDP,M,2006
39,Kapu,Intermediate,ZPTC,UR,C.K.Palli,E.Parimala,TDP,F,2006
30,Padmasali,SSC,ZPTC,UR(W),D.Hirehal,Sreeram Jyothi,INC,F,2006
27,Boya,B.Com,ZPTC,BC(W),Dharmavaram,Konda Varipalli Laxmidevi,INC,F,2006
34,Madiga,SSC,ZPTC,SC,Gummagatta,Harijana Vannurappa,TDP,M,2006
42,Kapu,Intermediate,ZPTC,UR,Kanekal,P.Nagireddy,INC,M,2006
54,Boya,,ZPTC,UR,Kalyandurg,Ramanna,TDP,M,2006
39,Kamma,B.Com,ZPTC,UR,Kambadur,Rama Mohan,TDP,M,2006
39,Boya,5th Class,ZPTC,BC,Kanaganapalli,Anke Laxmanna,INC,M,2006
27,Madiga,5th Class,ZPTC,SC,Kundurpi,Rajagopal,INC,M,2006
47,OC,BA,ZPTC,UR,Ramagiri,K.Rama Murthy,TDP,M,2006
45,Kapu,SSC,ZPTC,UR,Rayadurg,Rajasekhar Reddy,INC,M,2006
47,Boya,6th Class,ZPTC,BC,Settur,Padamati Lingamaiah,TDP,M,2006
59,Madiga,SSLC,ZPTC,SC,Tadimarri,A.B.Nagabhushanam,INC,M,2006
39,Boya,SSC,ZPTC,BC,Agali,KN.Gopinath,INC,M,2006
49,Kapu,SSC,ZPTC,UR,Amadagur,Peddaka Sreenivasareddy,TDP,M,2006
44,Golla,BA,ZPTC,BC,Amarapuram, B.C. Chithanna,INC,M,2006
67,Kapu,"MA,",ZPTC,UR,Bukkapatnam,P.Brundamma,INC,F,2006
40,Devanga,Intermediate,ZPTC,UR(W),Chilamathur,N.Varalakshmi,TDP,F,2006
47,sugali,Intermediate,ZPTC,ST(W),Gandlapenta,Bhukya Charilamma,TDP,F,2006
48,Kapu,B.Com,ZPTC,UR,Gorantla,C.Gopal Reddy,TDP,M,2006
41,OC,"B.Sc, B.Ed.",ZPTC,UR,Gudibanda,G.B. Sivakumar,INC,M,2006
34,Boya,7th Class,ZPTC,BC(W),Hindupur,T.Gangaratnamma,TDP,F,2006
35,Kapu,10 th Class,ZPTC,UR(W),Kadiri,Lingala Aurna,TDP,F,2006
55,Dudekula,SSC,ZPTC,BC,Kothacheruvu,Pulacherla Gaffar,TDP,M,2006
27,Madiga,Intermediate,ZPTC,SC(W),Lepakshi,N.T. Ramanjinamma,TDP,F,2006
33,Boya,BA,ZPTC,BC,Madakasira,G.A.Narasimhamurthy,INC,M,2006
33,Gandla,SSC,ZPTC,BC,Mudigubba,Reddyvari Nagaraju,INC,M,2006
37,Vadde,5th Class,ZPTC,UR,N.P.Kunta,Tatiparti Raghavaiah,TDP,M,2006
58,Dudekula,5th Class,ZPTC,BC,Nallacheruvu,Vadalapalli Abdhul Khadir,TDP,M,2006
54,Boya,HSLC,ZPTC VC,BC,Nallamada, Muddala Narasimhulu,INC,M,2006
69,Kapu,SSLC,ZPTC,UR,O.D. Cheruvu,Eddula Hanumanthareddy,INC,M,2006
24,Kuruba,B.Sc,ZPTC,UR,Parigi, P.Jayalakshmi,TDP,F,2006
33,Kuraba,Intermediate,ZPTC,UR,Penukonda,Sreenivasulu,TDP,M,2006
42,Chakali,6th Class,ZPTC,BC(W),Puttaparthy,Kogira Suvarna,INC,F,2006
30,Golla,7th class,ZPTC,BC(W),Roddam,Padma,TDP,F,2006
55,Golla (BC),"BA, B.Ed",ZPTC,UR,Rolla,G.Sanna Thimmappa,INC,M,2006
24,Kapu,BA,ZPTC,UR(W),Somandepalli,2) M.Subhasini,TDP,F,2006
29,Thogata,5th Class,ZPTC,BC(W),Talupula,Pattu Pogula Chandrakala,TDP,F,2006
31,Kapu,10th Class,ZPTC,UR,Tanakal, N.Swarnalatha,TDP,F,2006
,,,ZPTC,BC(W),Agali,Sailaja Ramakrishna,TDP,,2014
,,,ZPTC,UR(W),Amadugur,P.Umadevi,TDP,,2014
,,,ZPTC,BC(W),Amarapuram,K.Rathnamma,TDP,,2014
,,,ZPTC,UR,Ananthapuramu R,M.Venugopal,TDP,,2014
,,,ZPTC,SC,Atmakur,H.Kullayappa,YSRCP,,2014
,,,ZPTC,UR,B.K.Samudram,K.Ramalinga Reddy,TDP,,2014
,,,ZPTC,SC,Bathalapalli,A.Narasimhulu,YSRCP,,2014
,,,ZPTC VC,UR(W),Beluguppa,Madineni Subhasini,TDP,,2014
,,,ZPTC,BC(W),Bommanahal,Kondapuram Vani,TDP,,2014
,,,ZPTC,BC(W),Brahmasamudram,Kuruba Gangamm,TDP,,2014
,,,ZPTC,UR(W),Bukkapatnam,Pulakuntla Sreedevi,YSRCP,,2014
,,,ZPTC,UR,C.K.Palli,K. Venkatarami Reddy,TDP,,2014
,,,ZPTC,UR,Chilamathur,M. Lakshminarayanareddy,TDP,,2014
,,,ZPTC,SC(W),D.Hirehal,H.Padmavathi,TDP,,2014
,,,ZPTC,SC,Dharmavaram,Mekala Ramanjineyulu,TDP,,2014
,,,ZPTC,BC(W),Gandlapenta,C.Sarojamma,TDP,,2014
,,,ZPTC,UR(W),Garladinne,C. Vishalakshi,TDP,,2014
,,,ZPTC,UR,Gooty,Praveen Kumar. N,YSRCP,,2014
,,,ZPTC,UR(W),Gorantla,C Indiramma,TDP,,2014
,,,ZPTC,BC,Gudibanda,Doctor D.Sreenivasamurthy,TDP,,2014
,,,ZPTC,BC,Gummagatta,Boya Nagaraju,TDP,,2014
,,,ZPTC,ST,Guntakal,N.Mathru Naik,TDP,,2014
,,,ZPTC,BC,Hindupur,K.L.Adinarayana,TDP,,2014
,,,ZPTC,BC(W),Kadiri,Mekala Prameelamma,YSRCP,,2014
,,,ZPTC,SC,Kalyandurg,H.D.Kolla Purappa,TDP,,2014
,,,ZPTC,UR,Kambadur,Rama Mohan,TDP,,2014
,,,ZPTC,UR,Kanaganapalli,Bille Eswarayya,YSRCP,,2014
,,,ZPTC,SC(W),Kanekal,Sharada,TDP,,2014
,,,ZPTC,UR(W),Kothacheruvu,M. Mahalakshmi,TDP,,2014
,,,ZPTC,UR(W),Kudair,P. Meri Nirmalamma,YSRCP,,2014
,,,ZPTC,BC,Kundurpi,K.Mallikarjuna,TDP,,2014
,,,ZPTC,UR,Lepakshi,Rg Adinarayana Reddy,TDP,,2014
,,,ZPTC,UR(W),Madakasira,Y.K.Sulochanamma,TDP,,2014
,,,ZPTC,UR(W),Mudigubba,P. Leelavathi,YSRCP,,2014
,,,ZPTC,UR(W),N.P.Kunta,P.Maheswaramma,TDP,,2014
,,,ZPTC,UR(W),Nallacheruvu,Nalabothu Nagarathnamma,TDP,,2014
,,,ZPTC,UR,Nallamada,Jakkala Adisheshu,YSRCP,,2014
,,,ZPTC,UR(W),Narpala,Alam. Shiresh,TDP,,2014
,,,ZPTC,UR,O.D.Cheruvu,Pitta Obulareddy,TDP,,2014
,,,ZPTC,ST(W),Pamidi,Ramavath Jaya Lakshmi,TDP,,2014
,,,ZPTC,BC,Parigi,B.Suryanarayana,TDP,,2014
,,,ZPTC,UR(W),Peddapappur,Gorla. Krishnakumari,TDP,,2014
,,,ZPTC,UR,Peddavadugur,M.Chithambara Reddy,YSRCP,,2014
,,,ZPTC,UR,Penukonda,N.Narayanaswamy,TDP,,2014
,,,ZPTC,BC(W),Putlur,Jangampalli. Nallamma,YSRCP,,2014
,,,ZPTC,ST(W),Puttaparthi,M.Yeshoda Bai,IND,,2014
,,,ZPTC Chairman,UR,Ramagiri,D.Chaman Sab,TDP,,2014
,,,ZPTC,UR,Rapthadu,Vennapusa Ravindrareddy,YSRCP,,2014
,,,ZPTC,BC,Rayadurg,G.V.Vijayakumar,YSRCP,,2014
,,,ZPTC,BC,Roddam,E.Chinnappaiah,TDP,,2014
,,,ZPTC,BC,Rolla,V.M.Pandurangappa,TDP,,2014
,,,ZPTC,BC(W),Settur,Kuchi Kavitha,TDP,,2014
,,,ZPTC,UR(W),Singanamala,Ammaladinne Salini,TDP,,2014
,,,ZPTC,BC,Somandepalli,Rangepalli Venkataramanappa,TDP,,2014
,,,ZPTC,BC(W),Tadimarri,Kappala Padmavathi,YSRCP,,2014
,,,ZPTC,SC(W),Tadipatri,K.Savithri,TDP,,2014
,,,ZPTC,UR(W),Talupula,I. Jyothirmayi,YSRCP,,2014
,,,ZPTC,BC(W),Tanakal,Jakkala Sreelatha,YSRCP,,2014
,,,ZPTC,SC(W),Uravakonda,Lalitha,YSRCP,,2014
,,,ZPTC,SC(W),Vajrakarur,Nancherla. Indiramma,YSRCP,,2014
,,,ZPTC,SC,Vidapanakal,Singadi. Thippaiah,YSRCP,,2014
,,,ZPTC,UR,Yadiki,"Vennapusapalli Venkata Rami Reddy",YSRCP,,2014
