#source - https://www.thehindu.com/2004/05/23/stories/2004052309750600.htm + http://www.andhranews.net/Features/Events/YSR-First-Term-Cabinet.asp
Y. S. Rajasekhara Reddy, Chief Minister, General Administration, Law and Order and all other portfolios not alloted to others
Dharmana Prasada Rao,Srikakulam,Revenue, Relief and Rehabilitation, Urban Land Ceiling
S. Vijayarama Raju, Forest and Environment
Botsa Satyanarayana, Vizianagaram, Housing
Konathala Ramakrishna, Visakhapatnam, Commercial Taxes
Jakkampudi Ram Mohan Rao, Excise and Prohibition 
G. Surya Rao, E. Godavari,SSI, Khadi and Village Industries Board 
Koneru Ranga Rao, Municipal Administration and Urban Development
Pinnamaneni Venkateswara Rao, Krishna,Rural Water Supply
Kanna Laxminarayana, Guntur, Transport
K. Rosaiah, Prakasam,Finance, Planning and Legislative Affairs
N. Rajyalakshmi, Nellore,Women Development and Child Welfare
J.C. Diwakar Reddy, Anantapur,Panchayat Raj
Neelakantapuram Raghuveera Reddy, Anantapur,Agriculture, Agricultural Technology Mission, Horticulture, Sericulture and RSAD
Muninti Mareppa, Kurnool,Marketing and Warehousing
G. Vinod Kumar, Adilabad,Labour, Employment and Factories 
M. Satyanarayana Rao, Karimnagar 
Ponnala Laxmaiah 
D. S. Redya Naik, Warangal, Tribal Welfare and RIAD
D. Srinivas, Nizamabad,Higher Education and Intermediate Education
Shabbir Ali, Nizamabad, Energy, Coal, Minorities Welfare, Wakf and Urdu Academy
J. Geetha Reddy,Major Industries, Sugar, Commerce and Export otion
Md. Fareeduddin,Medak,Cooperation 
P. Sabitha Reddy,Rangareddi,Mines and Geology, Handlooms and Textiles
K. Jana Reddy,Nalgonda,Home, Jails, Fire Services, Sainik Welfare, Printing and Stationery
G Aruna Kumari,Medical Education and Health Insurance
M Buddha Prasad,Animal Husbandry,Dairy Development, Veterinary University and Fisheries
S. Chandrasekhar,Health and Family Welfare
R. Chenga Reddy,Law and Courts, Technical Education and Industrial Training Institutes
G. Chinna Reddy,Rural Development, NREGP and SHGs
D. Rajanarasimha,School Education, Government Examinations, SCERT, Text Book Press, Residential School Society
R. Damodar Reddy,Information Technology and Communications, Youth Services and Sports
M. Hanumantha Rao,SSA, DPEP, Audit Education, Open Schools and Public Libraries
T. Jeevan Reddy,Roads and Buildings
P. Lakshamaiah,Major Irrigation and Medium Irrigation
Anam Ramanarayana Reddy,I&PR, Cinematography and Tourism
J. Ratnakar Rao,Endowments, Stamps and Registration
P. Subash Chandra Bose,Social Welfare
Kasu Venkata Krishna Reddy,Civil Supplies and Legal Metrology
M. Venkata Ramana Rao,Infrastructure and investments, Ports and Airports and Natural Gas
Maganti Venkateswara Rao,Irrigation, APIDC, Lift Irrigation
Vanama Venkateswara Rao,Vaidya Vidhana Parishad and Hospital Services
M. Mukesh Goud,BC Welfare
