name,mandal,year,age,area,community,cooptmember,edu,electioncat,occupation,party,pparty,president,sex,vp,vpparty
Ammajamma,Agali,2006,26,Agali 1,,,10th,BCW,,TDP,,,F,,
Vanajakshamma,Agali,2006,41,Agali 2,,,Intermediate,URW,Cultivation,INC,,,F,,
Seetharamappa,Agali,2006,61,Inagalore,,,5TH,,Cultivation,TDP,,,M,,
Hanumakka,Agali,2006,49,Kodipalli,,,,SCW,Cultivation,TDP,,,F,,
Nirmala,Agali,2006,39,Madhudi,,,Intermediate,BCW,,TDP,,,F,,
Lakshmamma,Agali,2006,21,Narasambudi,,,,URG,,INC,,,F,,
Gangamma,Agali,2006,41,P.Byadigera,,,3rd,URG,Cultivation,INC,,,F,,
Jayamma,Agali,2006,32,R.G.Halli,,,10TH,URW,Cultivation,INC,,,F,,
Eranna,Agali,2006,64,Ravudi,,,4th,SCG,Cultivation,INC,,,M,,
Lunjala Ravi,Amadagur,2006,31,Amadagur,MALA,,SSC PASS,SC,CULTIVATION,INC,,,M,,
G.Narendra Reddy,Amadagur,2006,29,Chinaganipalli,KAPU,,SSC PASS,UR,CULTIVATION,TDP,,,M,,
Maka Krishna Reddy,Amadagur,2006,54,Gunduvaripalli,KAPU,,SSC FAIL,,CULTIVATION,TDP,,,M,,
Talamarla Venkataramanamma,Amadagur,2006,37,Jowkulakothapalli,GANDLA,,,BC[W],,TDP,,,F,,
Pichili Leelavathi,Amadagur,2006,31,Mahammadabad,KAPU,,SSC PASS,UR[W],AGRICULTURE,TDP,,,F,,
Gudisi Venkata Malli Reddy,Amadagur,2006,50,Pulakuntapalli,KAPU,,SSC FAIL,UR,CULTIVATION,TDP,,,M,,
Utakur Kristappa,Amadagur,2006,33,Thummala,CHAKALA,,IX CLASS,BC,CULTIVATION,TDP,,,M,,
Lakshmamma,Amarapuram,2006,37,Aladapalli,,,,BCW,,INC,,,F,,
Girajamma.K,Amarapuram,2006,51,Amarapuram 1,BOYA,,,URW,,INC,,,F,,
Mallesappa,Amarapuram,2006,35,Amarapuram 2,LINGAYAT,,,URG,AGRICULTURE,INC,,,M,,
Vijayamma,Amarapuram,2006,24,Amarapuram 3,VAKKALIGA,,,URW,,TDP,,,F,,
Rangareddy,Amarapuram,2006,32,Bhavanapalli,KAPU,,,URG,AGRICULTURE,INC,,,M,,
Nagabhusanam,Amarapuram,2006,60,Halukur 1,VAKKALIGA,,,URG,AGRICULTURE,TDP,,,M,,
Nagaraju,Amarapuram,2006,41,Halukur 2,,,,BCG,AGRICULTURE,TDP,,,M,,
Renuka,Amarapuram,2006,24,Hemavathi 1,,,,BCG,,TDP,,,F,,
Govindaraya,Amarapuram,2006,28,Hemavathi 2,,,,SCG,AGRICULTURE,INC,,,M,,
Govindarayappa,Amarapuram,2006,49,Nidragatta,,,,BCG,AGRICULTURE,INC,,,M,,
N.Sreeramareddy,Amarapuram,2006,55,Sivaram,KAPU,,,URG,AGRICULTURE,INC,,,M,,
Nigamma,Amarapuram,2006,57,Thammedepalli 1,KURUBA,,,URW,,TDP,,,F,,
E.Krishnamurthy,Amarapuram,2006,39,Thammedepalli 2,VAKKALIGA,,,URG,AGRICULTURE,TDP,,,M,,
Neelamma,Amarapuram,2006,28,Valasa 1,,,,SCW,,TDP,,,F,,
K.Thippe Swamy,Amarapuram,2006,45,Valasa 2,,,,SCG,AGRICULTURE,TDP,,,M,,
Chakali Alivelu,Ananthapuramu Rural,2006,,A.Narayanapuram 3,,,,BC(W),,TDP,,,Female,,
K.Manoj Kumar,Ananthapuramu Rural,2006,29,A.Narayanapuram 1,,,Intermediate,URG,AGRICULTURE,TDP,,,M,,
B.Akhila,Ananthapuramu Rural,2006,35,A.Narayanapuram 2,,,10th class,URW,AGRICULTURE,INC,,,F,,
M.Syam Sundar,Ananthapuramu Rural,2006,31,A.Narayanapuram 4,,,10th class,URG,AGRICULTURE,TDP,,,M,,
C.Veeranjaneyulu,Ananthapuramu Rural,2006,32,A.Narayanapuram 5,,,5th class,URG,AGRICULTURE,TDP,,,M,,
G.Narayanareddy,Ananthapuramu Rural,2006,42,Akuthotapalli,,,9th class,URG,AGRICULTURE,INC,,,M,,
G.Balanarasimhulu,Ananthapuramu Rural,2006,34,Alamur,,,2nd class,BCG,AGRICULTURE,TDP,,,M,,
R.Hemalatha,Ananthapuramu Rural,2006,22,Ananthapuramu Rural,,,Intermediate,SCG,AGRICULTURE,TDP,,,F,,
T.Jyothi,Ananthapuramu Rural,2006,25,Chiyyedu,,,10th class,URW,AGRICULTURE,INC,,,F,,
G.Sreeramulu,Ananthapuramu Rural,2006,52,Itukalapalli,,,10th class,URG,AGRICULTURE,TDP,,,M,,
S.Madhavilatha,Ananthapuramu Rural,2006,32,Kakkalapalli,,,7th class,URG,AGRICULTURE,TDP,,,F,,
M.Adilakshmi,Ananthapuramu Rural,2006,24,Kakkalapalli Colony 1,,,10th class,SCW,AGRICULTURE,INC,,,F,,
G.Raghuramaiah,Ananthapuramu Rural,2006,42,Kakkalapalli Colony 2,,,5th class,BCG,AGRICULTURE,CPI,,,M,,
K.Govindareddy,Ananthapuramu Rural,2006,30,Kandukur,,,10th class,URG,AGRICULTURE,INC,,,M,,
B.Eswaraiah,Ananthapuramu Rural,2006,29,Kurugunta,,,10th class,SCG,AGRICULTURE,INC,,,M,,
B.Yerriswamy,Ananthapuramu Rural,2006,35,N.N.Kunta,,,BA,BCG,AGRICULTURE,TDP,,,M,,
G.Cennakrishnareddy,Ananthapuramu Rural,2006,34,Rachanapalli,,,B.Sc,URG,AGRICULTURE,TDP,,,M,,
L.Narasamma,Ananthapuramu Rural,2006,27,Rajeev Colony,,,10th class,SCG,AGRICULTURE,CPI,,,M,,
G.Thirupalu,Ananthapuramu Rural,2006,42,Rudrampeta 1,,,,BCG,AGRICULTURE,TDP,,,M,,
B.Varalakshmi,Ananthapuramu Rural,2006,40,Rudrampeta 2,,,10th class,URW,AGRICULTURE,CPI,,,F,,
D.Venkatesulu,Ananthapuramu Rural,2006,24,Rudrampeta 3,,,,STG,AGRICULTURE,TDP,,,M,,
K.Anjinamma,Ananthapuramu Rural,2006,40,Somuladoddi,,,,BCW,AGRICULTURE,INC,,,F,,
D.Obireddy,Ananthapuramu Rural,2006,44,Uparapalli,,,Intermediate,URG,AGRICULTURE,TDP,,,M,,
G.Thippakka,Atmakur,2006,59,Atmakur 1,,,,URW,Agriculure,TDP,,,F,,
