year,electedas,name,party,segment,mandal,area,ward,age,community,edu,electioncat,occupation,sex,tot,votes
1998,MP,Anantha Venkata Rami Reddy,INC,Anantapur,,,,,,,,,,1213025.0,320474.0
1999,MP Candidate,Bheemalingaiah,IND,Anantapur,,,,,,,,,,1226314.0,890.0
1999,MP Candidate,Y. Pothulaiah,IND,Anantapur,,,,,,,,,,1226314.0,1251.0
1999,MP Candidate,A. Ramachandra Chowdary,ATDP,Anantapur,,,,,,,,,,1226314.0,14823.0
1999,MP Candidate,Anantha Venkata Rami Reddy,INC,Anantapur,,,,,,,,,,1226314.0,357386.0
1999,MP,Kalava Srinivasulu,TDP,Anantapur,,,,,,,,,,1226314.0,378488.0
2004,MP Candidate,B. S. Amarnath,IND,Anantapur,,,,,,,,,,1280923.0,3640.0
2004,MP Candidate,A. Jagan Mohan Rao,TRS,Anantapur,,,,,,,,,,1280923.0,4419.0
2004,MP Candidate,K. Venkatesulu,PPOI,Anantapur,,,,,,,,,,1280923.0,6232.0
2004,MP Candidate,Yatham Pothalaiah,IND,Anantapur,,,,,,,,,,1280923.0,7102.0
2004,MP Candidate,Gaddala Nagabhushanam,BSP,Anantapur,,,,,,,,,,1280923.0,9296.0
2004,MP Candidate,Kalava Srinivasulu,TDP,Anantapur,,,,,,,,,,1280923.0,385521.0
2004,MP,Anantha Venkata Rami Reddy,INC,Anantapur,,,,,,,,,,1280923.0,458925.0
2009,MP Candidate,Krushnapuram Gayathri Devi,CPI(ML),Anantapur,,,,,,,,,,1411460.0,2083.0
2009,MP Candidate,G Hari,PPOI,Anantapur,,,,,,,,,,1411460.0,3232.0
2009,MP Candidate,T Chandra Sekhar,IND,Anantapur,,,,,,,,,,1411460.0,3346.0
2009,MP Candidate,Devella Murali,IND,Anantapur,,,,,,,,,,1411460.0,4781.0
2009,MP Candidate,Gaddala Nagabhushanam,BSP,Anantapur,,,,,,,,,,1411460.0,5921.0
2009,MP Candidate,Amarnath,LSP,Anantapur,,,,,,,,,,1411460.0,6340.0
2009,MP Candidate,K P Narayana Swamy,IND,Anantapur,,,,,,,,,,1411460.0,8908.0
2009,MP Candidate,J C Ramanjula Reddy,IND,Anantapur,,,,,,,,,,1411460.0,9179.0
2009,MP Candidate,Ambati Rama Krishna Reddy,BJP,Anantapur,,,,,,,,,,1411460.0,16540.0
2009,MP Candidate,Mansoor,PRAP,Anantapur,,,,,,,,,,1411460.0,102047.0
2009,MP Candidate,Kalava Srinivasulu,TDP,Anantapur,,,,,,,,,,1411460.0,379955.0
2009,MP,Anantha Venkata Rami Reddy,INC,Anantapur,,,,,,,,,,1411460.0,457876.0
2014,MP Candidate,G Lalitha,SUCI,Anantapur,,,,,,,,,,1536894.0,952.0
2014,MP Candidate,G. Nagaraju,IND,Anantapur,,,,,,,,,,1536894.0,1095.0
2014,MP Candidate,Buzireddy Venugopal Reddy,ICSP,Anantapur,,,,,,,,,,1536894.0,1388.0
2014,MP Candidate,B. Srinivasulu,IND,Anantapur,,,,,,,,,,1536894.0,1599.0
2014,MP Candidate,Pavan Kumar,PPOI,Anantapur,,,,,,,,,,1536894.0,2076.0
2014,MP Candidate,D. Somanath,IND,Anantapur,,,,,,,,,,1536894.0,2274.0
2014,MP Candidate,Boya Anil Kumar,JaSPa,Anantapur,,,,,,,,,,1536894.0,2800.0
2014,MP Candidate,Shaik. Mohammad Shafi.,IND,Anantapur,,,,,,,,,,1536894.0,3031.0
2014,MP Candidate,Kasani Nagaraju,BSP,Anantapur,,,,,,,,,,1536894.0,6227.0
2014,MP Candidate,T.Kuladeep Chowdary,STR,Anantapur,,,,,,,,,,1536894.0,6542.0
2014,MP Candidate,None Of The Above,NOTA,Anantapur,,,,,,,,,,1536894.0,8857.0
2014,MP Candidate,P. Anil Chowdary,INC,Anantapur,,,,,,,,,,1536894.0,16719.0
2014,MP Candidate,Anantha Venkataramireddy,YSRCP,Anantapur,,,,,,,,,,1536894.0,548297.0
2014,MP,J.C. Diwakar Reddy,TDP,Anantapur,,,,,,,,,,1536894.0,610288.0
1978,MLA Candidate,Anantha Venkata Rami Reddy,INC,Anantapur Urban,,,,,,,,,,96591.0,9681.0
1978,MLA Candidate,Meda Subbaiah,JNP,Anantapur Urban,,,,,,,,,,96591.0,24869.0
1978,MLA,B.T.L.N. Chowdary,INC(I),Anantapur Urban,,,,,,,,,,96591.0,28204.0
1983,MLA Candidate,N. Srinivasa,IND,Anantapur Urban,,,,,,,,,,118791.0,89.0
1983,MLA Candidate,Adavula Narayana,IND,Anantapur Urban,,,,,,,,,,118791.0,112.0
1983,MLA Candidate,M. Ramachandra Rao,JNP,Anantapur Urban,,,,,,,,,,118791.0,469.0
1983,MLA Candidate,P. Bugganna,BJP,Anantapur Urban,,,,,,,,,,118791.0,3278.0
1983,MLA Candidate,B.T.L.N. Chowdary,INC,Anantapur Urban,,,,,,,,,,118791.0,17791.0
1983,MLA,Devineni Narayanaswamy,IND,Anantapur Urban,,,,,,,,,,118791.0,57255.0
1985,MLA Candidate,N. Veeranjaneyulu,IND,Anantapur Urban,,,,,,,,,,131428.0,109.0
1985,MLA Candidate,Rentala Sudhakara Gupta,IND,Anantapur Urban,,,,,,,,,,131428.0,386.0
1985,MLA Candidate,A. Narayana Reddy,INC,Anantapur Urban,,,,,,,,,,131428.0,36294.0
1985,MLA,N. Ramakrishna,TDP,Anantapur Urban,,,,,,,,,,131428.0,43715.0
1989,MLA Candidate,T. Sree Ramulu,IND,Anantapur Urban,,,,,,,,,,174807.0,172.0
1989,MLA Candidate,M. Usman,DMM,Anantapur Urban,,,,,,,,,,174807.0,329.0
1989,MLA Candidate,K. Guruswamy Yadav,BSP,Anantapur Urban,,,,,,,,,,174807.0,413.0
1989,MLA Candidate,Kammuri Saifulla,TDP,Anantapur Urban,,,,,,,,,,174807.0,41288.0
1989,MLA,Bodimalla Narayana Reddy,INC,Anantapur Urban,,,,,,,,,,174807.0,63601.0
1994,MLA Candidate,R. Harinath Reddy,IND,Anantapur Urban,,,,,,,,,,200760.0,47.0
1994,MLA Candidate,K.G. Surendranath Yadav,SP,Anantapur Urban,,,,,,,,,,200760.0,122.0
1994,MLA Candidate,K. Gaffoor,IND,Anantapur Urban,,,,,,,,,,200760.0,317.0
1994,MLA Candidate,Kakshmaiah,IND,Anantapur Urban,,,,,,,,,,200760.0,427.0
1994,MLA Candidate,Veluri Kesava Chowdary,BJP,Anantapur Urban,,,,,,,,,,200760.0,3906.0
1994,MLA Candidate,B. Narayana Reddy,INC,Anantapur Urban,,,,,,,,,,200760.0,45930.0
1994,MLA,K. Ramakrishna,CPI,Anantapur Urban,,,,,,,,,,200760.0,68294.0
1999,MLA Candidate,K. Prabhakara Rao,IND,Anantapur Urban,,,,,,,,,,233147.0,179.0
1999,MLA Candidate,B. Narayana Reddy,IND,Anantapur Urban,,,,,,,,,,233147.0,383.0
1999,MLA Candidate,K. Ramakrishna,CPI,Anantapur Urban,,,,,,,,,,233147.0,6690.0
1999,MLA Candidate,V. Prabhakar Chowdary,TDP,Anantapur Urban,,,,,,,,,,233147.0,56651.0
1999,MLA,B. Narayana Reddy,INC,Anantapur Urban,,,,,,,,,,233147.0,60116.0
2004,MLA Candidate,Jonnakuti Ananta Venkata Reddy,IND,Anantapur Urban,,,,,,,,,,246290.0,134.0
2004,MLA Candidate,G. Nagaraju,IND,Anantapur Urban,,,,,,,,,,246290.0,149.0
2004,MLA Candidate,D. Govinda Reddy,IND,Anantapur Urban,,,,,,,,,,246290.0,178.0
2004,MLA Candidate,Thimmapuram Udaya Kumar,BJRP,Anantapur Urban,,,,,,,,,,246290.0,273.0
2004,MLA Candidate,Masulu Sreenivasulu,NTRTDP(LP),Anantapur Urban,,,,,,,,,,246290.0,279.0
2004,MLA Candidate,Smt G. Lalitha,IND,Anantapur Urban,,,,,,,,,,246290.0,352.0
2004,MLA Candidate,B. Nagasankar Reddy,IND,Anantapur Urban,,,,,,,,,,246290.0,541.0
2004,MLA Candidate,K. Venkata Ramana,IND,Anantapur Urban,,,,,,,,,,246290.0,605.0
2004,MLA Candidate,G. Haribabu,PPOI,Anantapur Urban,,,,,,,,,,246290.0,732.0
2004,MLA Candidate,R. Rangappa,IND,Anantapur Urban,,,,,,,,,,246290.0,931.0
2004,MLA Candidate,S. Shaikshavali,BSP,Anantapur Urban,,,,,,,,,,246290.0,936.0
2004,MLA Candidate,T. Atmarami Reddy,IND,Anantapur Urban,,,,,,,,,,246290.0,4224.0
