# source - /soc.culture.indian.telugu/WLThKQ52KE0
N T Rama Rao,Chief Minister,Major irrigation,Power,Major Industries,General Administration,All-India Services,Law and Order,Law Handlooms & Textiles
N Chandrababu Naidu,Revenue,Relief,Rehabilitation,Finance,Planning,Small Savings & Lotteries
P Ashok Gajapati Raju,Commercial Taxes,Legislative Affairs
Ch Ayyanna Patrudu,Roads and Buildings,Ports
Basheeruddin Babu Khan,Minorities,Wakf,Urdu Academy,Cinematography,Film Development Corporation,Science and Technology.=
G Buchaiah Chowdary Rs 2 a kg rice programme,Civil Supplies,Weights and Measures.
P Chandrasekhar,Transport
M Damodar Reddy,Mines & Geology
T.Devendar Goud,BC Welfare,cooperation and Total Prohibition
P Indira Reddy,Home,Jail & Fire Services
A Madhava Reddy,Health & Medical Education
B V Mohan Reddy,Municipal Administration & Urban Development
G Muddukrishnama Naidu,Higher Education,including College Education & Intermediate Education
M Peda Rathaiah,Medium Irrigation,Minor Irrigation,Drainage,Irrigation Development Corporation,Ground Water Development
K Pratibha Bharathi Social Welfare,Women Welfare & Family welfare
M Narasimhulu,Tourism,Culture,Archives,Archaeology,Museums & Handicrafts
D Rajasekhar,Technical Education,Employment,Training
Chikkala Ramachandra Rao,Primary Education,Employment,Training
K Ramachandra Rao,Panchayat Raj,Rural Development,Rural Water Supply,Employment Generation
Paritala Ravi,Labour
S Satyanarayana,Endowments
D Veerabhadra Rao,Information & Public Relations
K Vidyadhar Rao,Agriculture,Horticulture and Sericulture
P Brahmaiah,MoS,Small Scale Industries,Khadi & Village Industries,Leather Industries Development Lidcap
G Nagesh,MoS,S T Welfare,Welfare of Physically Handicapped Persons
Pranay Bhasker,MoS,Sports,Youth Services,Youth Welfare,NCC,Self Employment
N Prasanna Kumar Reddy,MoS,Sugar,Commerce & Export Promotion
P Rama Rao,MoS,Animal Husbandary,Dairy Development & Fisheries
P Ramasubba Reddy,MoS,Forests & Environment
T Seetaram,MoS,Services (Except All-India Services),Courts,Justice,Stationery & Printing
K Srihari,MoS,Marketing & Warehousing
Subba Rayudu,MoS,Housing
