name,mandal,year,age,area,community,cooptmember,edu,electioncat,occupation,party,pparty,president,sex,vp,vpparty
Sreenivasulu,Agali,2014,,Agali,,,,BC,,YSRCP,,,M?,,
Lakshminarasappa,Agali,2014,,Hallikera,,,,SC,,TDP,,,M?,,
G.Thippamma,Agali,2014,,Inagalore,,,,UR(W),,TDP,,,F,,
Kavitha,Agali,2014,,Irigepalli,,,,SC(W),,TDP,,,F,,
Mallappa,Agali,2014,,Kodipalli,,,,UR,,TDP,,,M?,,
Nanjundappa,Agali,2014,,Madhudi,,,,UR,,TDP,,,M?,,
Sarojamma,Agali,2014,,Narasambudi,,,,BC(W),,TDP,,,F,,
Ammajamma,Agali,2014,,P.Byadigera,,,,UR(W),,TDP,,,F,,
Sakrappa,Agali,2014,,Ragelinganahalli,,,,BC,,TDP,,,M?,,
Lakshmamma,Agali,2014,,Ravudi,,,,BC(W),,TDP,,,F,,
P.Geetha,Amadagur,2014,,Amadagur,,,,UR(W),,IND,,,F,,
D.Dhanalakshmi,Amadagur,2014,,Chinaganipalli,,,,UR,,TDP,,,M?,,
P.Venkatramanamma,Amadagur,2014,,Gunduvaripalli,,,,BC,,TDP,,,M?,,
K.Jayamma,Amadagur,2014,,Jowkulakothapalli,,,,UR,,YSRCP,,,M?,,
P.Sivamma,Amadagur,2014,,Mahammadabad,,,,UR(W),,YSRCP,,,F,,
B.Santhamma,Amadagur,2014,,Pulakuntapalli,,,,UR(W),,YSRCP,,,F,,
P.Gangadevi,Amadagur,2014,,Thummala 1,,,,SC(W),,TDP,,,F,,
M.Choudamma,Amadagur,2014,,Thummala 2,,,,BC(W),,YSRCP,,,F,,
Manjunath,Amarapuram,2014,,Aladapalli,,,,UR,,TDP,,,M?,,
Nagaveni,Amarapuram,2014,,Amarapuram 1,,,,UR(W),,TDP,,,F,,
Krishnamurthy,Amarapuram,2014,,Amarapuram 2,,,,UR,,TDP,,,M?,,
Krishnareddy,Amarapuram,2014,,Basavanapalli,,,,BC,,YSRCP,,,M?,,
Rangamma,Amarapuram,2014,,Haluku 2,,,,SC(W),,TDP,,,F,,
C N Deepthi,Amarapuram,2014,,Halukur 1,,,,BC(W),,TDP,,,F,,
Shivakumar,Amarapuram,2014,,Hemavathi 1,,,,UR,,TDP,,,M?,,
Meenakashi,Amarapuram,2014,,Hemavathi 2,,,,BC,,TDP,,,M?,,
Lokesh,Amarapuram,2014,,Hemavathi 3,,,,SC,,TDP,,,M?,,
S.Rashmi,Amarapuram,2014,,K.Sivaram,,,,UR(W),,TDP,,,F,,
Govindaraya,Amarapuram,2014,,Maddanakunta,,,,SC,,TDP,,,M?,,
Roopa,Amarapuram,2014,,Nidragatta,,,,UR(W),,TDP,,,F,,
K. Saradamma,Amarapuram,2014,,Thamadepalli 1,,,,BC(W),,TDP,,,F,,
Hemalatha,Amarapuram,2014,,Thamadepalli 2,,,,SC(W),,TDP,,,F,,
Radhakrishna,Amarapuram,2014,,V.Agraharam,,,,UR,,TDP,,,M?,,
Girijamma,Amarapuram,2014,,Valasa,,,,UR(W),,TDP,,,F,,
B.Vanaja,Ananthapuramu Rural,2014,,A.Narayanapuram 1,,,,UR(W),,TDP,,,F,,
S.Nagaraju,Ananthapuramu Rural,2014,,A.Narayanapuram 2,,,,UR,,TDP,,,M?,,
Mangala Ramu,Ananthapuramu Rural,2014,,A.Narayanapuram 3,,,,UR,,TDP,,,M?,,
K.Aparana,Ananthapuramu Rural,2014,,A.Narayanapuram 4,,,,UR(W),,YSRCP,,,F,,
B.Pushapavathi,Ananthapuramu Rural,2014,,A.Narayanapuram 5,,,,BC(W),,TDP,,,F,,
E.Lelavathi,Ananthapuramu Rural,2014,,A.Narayanapuram 6,,,,UR(W),,TDP,,,F,,
Kuruba Jganeswari,Ananthapuramu Rural,2014,,A.Narayanapuram 7,,,,UR(W),,YSRCP,,,F,,
T.Imamulu,Ananthapuramu Rural,2014,,Akkampalli,,,,BC,,TDP,,,M?,,
S.Anand,Ananthapuramu Rural,2014,,Akuthotapalli 1,,,,SC,,TDP,,,M?,,
M.Ramana,Ananthapuramu Rural,2014,,Akuthotapalli 2,,,,BC,,TDP,,,M?,,
A.Subba Reddy,Ananthapuramu Rural,2014,,Alamur,,,,UR,,YSRCP,,,M?,,
B.Venkataramanamma,Ananthapuramu Rural,2014,,Anantapuramu Rural 1,,,,UR(W),,TDP,,,F,,
K.Silpa,Ananthapuramu Rural,2014,,Anantapuramu Rural 2,,,,UR(W),,TDP,,,F,,
K.Ramamohan Reddy,Ananthapuramu Rural,2014,,Chiyyedu,,,,UR,,YSRCP,,,M?,,
M.Akkulappa,Ananthapuramu Rural,2014,,Itukalapalli,,,,UR,,TDP,,,M?,,
Narayanswamy,Ananthapuramu Rural,2014,,Kakkalapalli,,,,UR,,TDP,,,M?,,
Kadirabba Dhanujay,Ananthapuramu Rural,2014,,Kakkalapalli Colony 1,,,,BC,,YSRCP,,,M?,,
K.Radhamma,Ananthapuramu Rural,2014,,Kakkalapalli Colony 2,,,,UR(W),,YSRCP,,,F,,
K.Gayathri Devi,Ananthapuramu Rural,2014,,Kakkalapalli Colony 3,,,,BC(W),,YSRCP,,,F,,
Kanekanti Madhavi,Ananthapuramu Rural,2014,,Kamarupalli,,,,UR(W),,TDP,,,F,,
B.Govinda Reddy,Ananthapuramu Rural,2014,,Kandukur  1,,,,UR,,YSRCP,,,M?,,
S.Nagamma,Ananthapuramu Rural,2014,,Kandukur 1,,,,SC(W),,YSRCP,,,F,,
B.Kirana Kumar Reddy,Ananthapuramu Rural,2014,,Kurugunta,,,,UR,,YSRCP,,,M?,,
