N CBN
Ashok Gajapathi Raju
Tulla Devender Goud
Alimineti Madhava Reddy
B Vishwa Mohan Reddy
Yanamala Ramakrishnudu
Vadde Sobhanadreeswara Rao
K Vijayarama Rao
Aruna Sanakkayala
Chintakayala Ayyanna Patrudu
P Chandrasekhar
Nasyam Mohammed Farook
Nagam Janardhan Reddy
Lakshmi Padmavathi
Thummala Nageswara Rao,Heavy Water Irrigation Projects and Excise
K. E. Prabhakar
K. Pushpaleela
Chikkala Ramachandra Rao
Karnam Ramachandra Rao, Higher Education
Tammineni Seetharam
Dandu Sivarama Raju
Kadiyam Srihari, Marketing, Social Welfare, Education and Irrigation
P Srinivas Reddy
K Subbarayudu
Veera Reddy Bijivemula
Mandava Venkateshwara Rao
Kotagiri Vidyadhara Rao
P. Bhumanna, MoS
Kristappa Nimmala, MoS
C. Krishna Yadav, MoS
M. Mani Kumari, MoS
E. Peddi Reddy V, MoS
A. Prabhakar Reddy, MoS
Naramalli Sivaprasad, MoS
Somineni Saraswati, MoS
Alapati Rajendra Prasad, MoS
N Narasimha Rao, MoS
