name,mandal,year,age,area,community,cooptmember,edu,electioncat,occupation,party,pparty,president,sex,vp,vpparty
Pujari Yerri Swamy,Beluguppa,2001,,Gangavaram,,,,,,INC,,,,,
Harmoniyam Anumayya,Bommanahal,2001,,Govindawada 2,,,,,,TDP,,,,,
Konakondala Shanthamma,Bommanahal,2001,,D Honnur,,,,,,TDP,,,,,
Y Chennappa,Bommanahal,2001,,Bonduru,,,,,,TDP,,,,,
Raketlappa,Bommanahal,2001,,Singanahalli,,,,,,INC,,,,,
Kavali Chandra Sekhar,Bommanahal,2001,,Govindawada 1,,,,,,TDP,,,,,
R Pushpa Latha,Bommanahal,2001,,Unthakal,,,,,,TDP,,,,,
Oankaramma,Bommanahal,2001,,Kuruvalli,,,,,,TDP,,,,,
K Mallikarjuna,Bommanahal,2001,,Bommanahal,,,,,,TDP,,,,,
Vannurappa,Bommanahal,2001,,Bollanaguddam,,,,,,TDP,,,,,
P Maruthi Prasad,Bommanahal,2001,,Kolaganahalli,,,,,,INC,,,,,
B Indira,Bommanahal,2001,,Vadderi,,,,,,INC,,,,,
K Krishna,Bommanahal,2001,,Sreedaragatta,,,,,,TDP,,,,,
Yelama Raja,Bramhasamudram,2001,,West Kodipalli,,,,,,INC,,,,,
Govindamma,Bramhasamudram,2001,,Vepulaparthi,,,,,,INC,,,,,
Ratnamma,Bramhasamudram,2001,,Kannepalli,,,,,,INC,,,,,
Lokesh,Bramhasamudram,2001,,Byravanithippa,,,,,,INC,,,,,
Suvarnamma,Bramhasamudram,2001,,Theetakalllu,,,,,,TDP,,,,,
Kamalamma,Bramhasamudram,2001,,S Kondapuram,,,,,,INC,,,,,
K.Lokanatha Reddi,Bramhasamudram,2001,,Pillalapalli,,,,,,INC,,,,,
Rajanna,Bramhasamudram,2001,,Brahmasamudram,,,,,,TDP,,,,,
B P Thirupal Reddi,Bramhasamudram,2001,,Byrasamudram,,,,,,INC,,,,,
China Nagappa,Bukkapatnam,2001,,Kothakota,,,,,,TDP,,,,,
P Chinnappa,Bukkapatnam,2001,,Bukkapatnam 2,,,,,,INC,,,,,
Naga Lakshmi Dasari,Bukkapatnam,2001,,Krishnapuram,,,,,,INC,,,,,
Bachu Gangappa,Bukkapatnam,2001,,Pamudurthi,,,,,,INC,,,,,
Eswaraiah R,Bukkapatnam,2001,,Marala,,,,,,INC,,,,,
Bhagyamma,Bukkapatnam,2001,,Narasimpalli Thanda,,,,,,INC,,,,,
Desireddy Thulasi Eswaramma,Bukkapatnam,2001,,Bukkapatnam 3,,,,,,INC,,,,,
M Lakshmidevi,Bukkapatnam,2001,,Gasikavaripalli,,,,,,IND,,,,,
P Brundamma,Bukkapatnam,2001,,Agraharam,,,,,,INC,,,,,
M Nagabhushana,Bukkapatnam,2001,,Bukkapatnam 1,,,,,,TDP,,,,,
Chenna Reddy Yeraguntal,Bukkapatnam,2001,,Siddarampuram,,,,,,INC,,,,,
A Parvathi,C.K.Palli,2001,,Medapuram 2,,,,,,TDP,,,,,
B Peddanna,C.K.Palli,2001,,Kanumukkala,,,,,,TDP,,,,,
M Prasadamma,C.K.Palli,2001,,Pyadindi,,,,,,TDP,,,,,
Kotte Ramanjaneyulu,C.K.Palli,2001,,Mustikovila,,,,,,TDP,,,,,
Kota Ganganna,C.K.Palli,2001,,Nyamaddala Ii,,,,,,TDP,,,,,
J Narayanamma,C.K.Palli,2001,,Medapuram I,,,,,,TDP,,,,,
Dasari Savithramma,C.K.Palli,2001,,C K Pally  Ii,,,,,,TDP,,,,,
Talari Saraswathi,C.K.Palli,2001,,Ganginepalli,,,,,,TDP,,,,,
A Subbarayudu,C.K.Palli,2001,,Nyamaddala I,,,,,,TDP,,,,,
Yagatanagari Ramkrishna Reddy,C.K.Palli,2001,,Venkatampalli,,,,,,TDP,,,,,
S Raghunadha Reddy,C.K.Palli,2001,,C Kpalli  1,,,,,,TDP,,,,,
Thipaiahgari Gopal Reddy,C.K.Palli,2001,,Nagasamudram,,,,,,TDP,,,,,
Thrragabatha Chowdamma,Chilamathur,2001,,Koduru 1,,,,,,INC,,,,,
Buttulu Adeppa,Chilamathur,2001,,Chilamathur 3,,,,,,TDP,,,,,
B Venkatalakshmamma,Chilamathur,2001,,Morasalapalli,,,,,,INC,,,,,
Narasimhappa,Chilamathur,2001,,Tekuledu,,,,,,TDP,,,,,
C A Surya Narayana,Chilamathur,2001,,Chagaleru,,,,,,INC,,,,,
V Sivappa,Chilamathur,2001,,Koduru 2,,,,,,TDP,,,,,
K S Bramaramba,Chilamathur,2001,,Somagatta,,,,,,TDP,,,,,
Lakshmidevamma,Chilamathur,2001,,Veerapuram,,,,,,TDP,,,,,
Lakshminarayanappa,Chilamathur,2001,,Chilamathur 1,,,,,,INC,,,,,
Surendra Reddy,Chilamathur,2001,,Chilamathur 2,,,,,,TDP,,,,,
B Hanumantha Reddy,Chilamathur,2001,,Settipalli,,,,,,INC,,,,,
V Gangappa,Chilamathur,2001,,Demakethepalli,,,,,,TDP,,,,,
M R Murali,Chilamathur,2001,,Kodikonda,,,,,,INC,,,,,
Tunkara Palli Parameswarappa,D.Hirehal,2001,,Muradi,,,,,,INC,,,,,
Kenjala Hanumakka,D.Hirehal,2001,,Nagalapuram,,,,,,TDP,,,,,
Karepparu Raju,D.Hirehal,2001,,Obulapuram,,,,,,TDP,,,,,
Thurpanti Hanumanthappa,D.Hirehal,2001,,Madanahalli,,,,,,TDP,,,,,
Chinna Siruvallappa,D.Hirehal,2001,,Kadalur,,,,,,INC,,,,,
Nara Adilakshmi,D.Hirehal,2001,,M Hanumapuram,,,,,,TDP,,,,,
Pushpavathi,D.Hirehal,2001,,D Hirehal,,,,,,TDP,,,,,
Vara Lakshmi,D.Hirehal,2001,,Kadlur,,,,,,INC,,,,,
Marri Basappa,D.Hirehal,2001,,Pulakurthi,,,,,,TDP,,,,,
V.Balajinaik,Dharmavaram,2001,,Elukuntla,,,,,,INC,,,,,
Adilaxmi,Dharmavaram,2001,,Darsimala,,,,,,INC,,,,,
R Srinivasulu,Dharmavaram,2001,,Mallakalva,,,,,,TDP,,,,,
